spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
19,0,5.32e+09,0,0,0,1330,0,0,0
18,1,1.41143e+09,0,0,0,422,0,0,0
17,2,4.13927e+09,0,0,0,1574,0,0,0
16,3,1.7045e+08,0,0,0,848,0,0,0
15,4,6.63649e+09,0,0,0,1947,0,0,0
14,5,9.67e+06,0,0,0,23,0,0,0
13,6,1.11575e+10,0,0,0,3800,0,0,0
12,7,3.59997e+09,0,0,0,2515,0,0,0
11,8,7.16881e+09,0,0,0,3090,0,0,0
10,9,6.74797e+09,0,0,0,1760,0,0,0
9,10,3.58566e+09,0,0,0,1321,0,0,0
8,11,2.90315e+09,0,0,0,1489,0,0,0
7,12,4.5483e+08,0,0,0,435,0,0,0
6,13,3.1099e+08,0,0,0,597,0,0,0
5,14,4.016e+08,0,0,0,1144,0,0,0
4,15,2.80755e+09,0,0,0,1964,0,0,0
3,16,1.5222e+08,0,0,0,458,0,0,0
2,17,4.8116e+08,0,0,0,1524,0,0,0
1,18,7.1154e+08,0,0,0,1267,0,0,0
