iucn_cat,puid
Ia,2246
Ia,2248
Ia,2395
Ia,2396
Ia,2397
Ia,2543
Ia,2544
Ia,2545
Ia,2547
Ia,2548
Ia,2549
Ia,2550
Ia,2551
Ia,2552
Ia,2553
Ia,2693
Ia,2694
Ia,2696
Ia,2697
Ia,2698
Ia,2699
Ia,2700
Ia,2701
Ia,2702
Ia,2842
Ia,2845
Ia,2846
Ia,2847
Ia,2848
Ia,2849
Ia,2850
Ia,2851
Ia,2994
Ia,2995
Ia,2996
Ia,2997
Ia,2998
Ia,2999
Ia,3000
Ia,3142
Ia,3143
Ia,3144
Ia,3145
Ia,3146
Ia,3147
Ia,3148
Ia,3291
Ia,3292
Ia,3293
Ia,3294
Ia,3295
Ia,3296
Ia,3297
Ia,3682
Ia,3683
Ia,3827
Ia,3828
Ia,3829
Ia,3971
Ia,3972
Ia,4395
Ia,4396
Ia,4533
Ia,4534
Ia,4671
Ia,4672
Ia,4673
Ia,4811
Ia,4812
Ia,5226
Ia,5227
Ia,5363
Ia,5364
Ia,5365
Ia,9652
Ia,9713
Ia,9714
Ia,9715
Ia,9716
Ia,9766
Ia,9767
Ia,9768
Ia,9769
Ia,9825
Ia,9878
Ia,11461
Ia,11483
Ia,11484
Ia,11507
Ia,11508
Ia,11509
Ia,11533
Ia,11534
Ia,11562
Ia,11563
Ia,11588
Ia,11589
Ib,8337
Ib,8450
Ib,8451
Ib,8452
Ib,8453
Ib,8454
Ib,8561
Ib,8562
Ib,8563
Ib,8564
Ib,8565
Ib,8566
Ib,8567
Ib,8568
Ib,8569
Ib,8668
Ib,8669
Ib,8670
Ib,8671
Ib,8672
Ib,8673
Ib,8674
Ib,8675
Ib,8676
Ib,8776
Ib,8777
Ib,8873
Ib,8874
Ib,8875
Ib,8964
Ib,8965
Ib,9055
Ib,9056
Ib,9057
Ib,9149
Ib,9150
Ib,9151
Ib,9239
Ib,9240
Ib,9340
Ib,9341
Ib,9439
Ib,9440
Ib,9441
Ib,9442
Ib,9521
Ib,9522
Ib,9523
Ib,9524
Ib,9602
Ib,9603
Ib,9604
Ib,9670
Ib,11461
Ib,11483
Ib,11484
Ib,11508
Ib,11509
Ib,11534
Ib,11563
II,4433
II,4571
II,4572
II,4708
II,4709
II,4711
II,4712
II,4713
II,4714
II,4847
II,4848
II,4849
II,4981
II,4982
