id,pu_area,pu_count
35132,708947034.7700592,1312
35154,479424146.30361223,1598
35176,151687173.17159462,477
35213,2797273348.320109,2037
35234,400138946.6586089,1209
35256,309896060.1164794,632
35279,453129385.74058914,463
35312,2892237132.857795,1554
35339,3572445845.449914,1363
35361,6724770575.724747,1764
35403,7142007569.920115,3174
35448,3586587695.2615533,2607
35869,11117196646.9215,3886
35513,9636245.418917824,24
35996,169838581.8065107,905
36019,4124130907.2318,1618
35606,1406471554.77311,427
36040,5300600639.052125,2109
