"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
36040,,1590180191.715636,1406796804.010202,0,432,0,0,no,0.884678
36019,,1237239272.169538,1238136656.570312,0,394,0,0,yes,1.000000
35996,,50951574.541953,51456545.984710,0,196,0,0,yes,1.000000
35869,,3335158994.076453,2283997460.935608,0,813,0,0,no,0.684824
35606,,421941466.431933,420592117.114352,0,122,0,0,no,0.996802
35513,,2890873.625675,2580784.136895,0,3,0,0,no,0.892735
35448,,1075976308.578468,1073911058.435255,0,590,0,0,no,0.998081
35403,,2142602270.976034,1939663512.897953,0,721,0,0,no,0.905284
35361,,2017431172.717425,2014042970.879318,0,508,0,0,no,0.998321
35339,,1071733753.634975,833263094.448558,0,320,0,0,no,0.777491
35312,,867671139.857339,866831524.242382,0,360,0,0,no,0.999032
35279,,135938815.722177,83270929.723280,0,64,0,0,no,0.612562
35256,,92968818.034944,91510057.937025,0,168,0,0,no,0.984309
35234,,120041683.997583,119936129.392826,0,257,0,0,no,0.999121
35213,,839182004.496033,772123517.356745,0,419,0,0,no,0.920091
35176,,45506151.951478,47375675.376647,0,142,0,0,yes,1.000000
35154,,143827243.891084,140943267.811589,0,320,0,0,no,0.979948
35132,,212684110.431018,203284063.450552,0,248,0,0,no,0.955803
