"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
36040,,1590180191.715636,1422741492.070310,0,440,0,0,no,0.894705
36019,,1237239272.169538,1237468618.383549,0,396,0,0,yes,1.000000
35996,,50951574.541953,50948279.274072,0,194,0,0,no,0.999935
35869,,3335158994.076453,2270695051.527723,0,803,0,0,no,0.680836
35606,,421941466.431933,421727434.404193,0,123,0,0,no,0.999493
35513,,2890873.625675,2580784.136895,0,3,0,0,no,0.892735
35448,,1075976308.578468,1075675514.633354,0,593,0,0,no,0.999720
35403,,2142602270.976034,1934302663.597855,0,719,0,0,no,0.902782
35361,,2017431172.717425,2014044095.491371,0,508,0,0,no,0.998321
35339,,1071733753.634975,830612526.071614,0,316,0,0,no,0.775018
35312,,867671139.857339,866569978.822179,0,360,0,0,no,0.998731
35279,,135938815.722177,83320639.385545,0,62,0,0,no,0.612928
35256,,92968818.034944,93015232.101777,0,165,0,0,yes,1.000000
35234,,120041683.997583,120058009.132159,0,252,0,0,yes,1.000000
35213,,839182004.496033,780492183.713562,0,424,0,0,no,0.930063
35176,,45506151.951478,45372753.870584,0,139,0,0,no,0.997069
35154,,143827243.891084,139429375.986587,0,326,0,0,no,0.969423
35132,,212684110.431018,207777261.452621,0,253,0,0,no,0.976929
