"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,8344439379.249552,6370960902.000000,2852,7470.908103,48022.344035,7885.717168,7470.908103,32665.718764,0.164209,1973478477.249551,1789517930.926759,13,0.604645
2,8341334522.811037,6333613528.000000,2851,7398.243712,48022.344035,7914.029732,7398.243712,32710.070591,0.164799,2007720994.811037,1822113520.463770,15,0.619890
3,8337642981.650099,6342048240.000000,2852,7283.899471,48022.344035,7963.913397,7283.899471,32774.531168,0.165838,1995594741.650098,1807917112.581218,14,0.606184
4,8339874199.894152,6329024631.000000,2850,7339.102677,48022.344035,7940.067744,7339.102677,32743.173614,0.165341,2010849568.894152,1815643311.872356,14,0.604278
5,8335027757.736114,6315039707.000000,2847,7432.730974,48022.344035,7879.261470,7432.730974,32710.351592,0.164075,2019988050.736114,1828693773.348575,14,0.603252
6,8340809635.157587,6330916789.000000,2851,7435.693994,48022.344035,7900.872499,7435.693994,32685.777542,0.164525,2009892846.157588,1817481555.414235,15,0.612562
7,8347404460.482957,6351697478.000000,2854,7442.239483,48022.344035,7894.132504,7442.239483,32685.972048,0.164385,1995706982.482957,1810851024.720234,14,0.609556
8,8342143370.647632,6330818447.000000,2848,7331.483290,48022.344035,7931.442233,7331.483290,32759.418512,0.165161,2011324923.647632,1818705915.949802,16,0.603692
9,8339102069.271369,6331357440.000000,2852,7338.280461,48022.344035,7943.392686,7338.280461,32740.670889,0.165410,2007744629.271369,1821140248.583718,15,0.603252
10,8342310952.849173,6348439288.000000,2849,7352.225647,48022.344035,7919.058447,7352.225647,32751.059941,0.164904,1993871664.849173,1807386038.209214,15,0.612928
