species	pu	amount
1	2245	30000
1	2246	150000
1	2247	250000
1	2248	230000
1	2395	2210000
1	2396	1570000
1	2397	560000
1	2400	50000
1	2401	260000
1	2402	520000
1	2543	20000
1	2544	470000
1	2545	1040000
1	2546	360000
1	2548	530000
1	2549	1730000
1	2550	2290000
1	2551	830000
1	2552	80000
1	2691	680000
1	2692	1210000
1	2693	1310000
1	2694	1130000
1	2695	30000
1	2698	50000
1	2699	500000
1	2700	2850000
1	2701	2880000
1	2702	1140000
1	2703	90000
1	2835	120000
1	2841	10000
1	2842	20000
1	2846	1110000
1	2847	30000
1	2848	70000
1	2849	740000
1	2850	2130000
1	2851	1350000
1	2852	1210000
1	2853	10000
1	2981	270000
1	2982	160000
1	2984	200000
1	2985	570000
1	2986	1480000
1	2987	20000
1	2995	190000
1	2996	420000
1	2999	400000
1	3000	1080000
1	3001	3410000
1	3002	60000
1	3130	300000
1	3131	210000
1	3132	10000
1	3133	20000
1	3143	580000
1	3147	320000
1	3149	160000
1	3150	50000
1	3278	880000
1	3279	410000
1	3280	10000
1	3284	180000
1	3285	20000
1	3291	70000
1	3433	660000
1	3434	350000
1	3435	1870000
1	3436	120000
1	3442	240000
1	3580	1560000
1	3581	480000
1	3582	260000
1	3587	40000
1	3682	80000
1	3683	490000
1	3726	30000
1	3727	20000
1	3729	70000
1	3733	20000
1	3827	970000
1	3828	2170000
1	3874	610000
1	3875	600000
1	3877	230000
1	3878	10000
1	3971	70000
1	3972	1020000
1	4016	1980000
1	4017	1040000
1	4018	1950000
1	4019	140000
1	4113	400000
1	4158	20000
1	4159	190000
1	4160	20000
1	4161	20000
1	4162	60000
1	4163	90000
1	4299	10000
1	4300	200000
1	4301	110000
1	4438	50000
1	4439	220000
1	4440	10000
1	4443	130000
1	4533	100000
1	4576	60000
1	4577	200000
1	4578	120000
1	4579	310000
1	4580	220000
1	4581	120000
1	4582	180000
1	4672	900000
1	4673	490000
1	4715	40000
1	4716	30000
1	4717	40000
1	4718	110000
1	4719	200000
1	4720	1080000
1	4721	3100000
1	4722	750000
1	4811	30000
1	4812	60000
1	4851	20000
1	4853	420000
1	4854	960000
1	4855	130000
1	4856	400000
1	4981	10000
1	4982	800000
1	4993	120000
1	4998	10000
1	5121	300000
1	5122	190000
1	5136	300000
1	5137	1200000
1	5260	1320000
1	5261	140000
1	5363	40000
1	5364	560000
1	5365	10000
1	5398	230000
1	5399	230000
1	5459	630000
1	5460	1510000
1	5539	80000
1	5546	1560000
1	5547	70000
1	5598	290000
1	5599	50000
1	5640	970000
1	5641	1270000
1	5642	80000
1	5680	110000
1	5688	160000
1	5689	470000
1	5690	720000
1	5691	40000
1	5692	310000
1	5693	350000
1	5694	100000
1	5695	200000
1	5696	660000
1	5697	80000
1	5698	30000
1	5782	620000
1	5783	430000
1	5784	1550000
1	5829	20000
1	5830	50000
1	5831	150000
1	5837	490000
1	5838	1240000
1	5839	110000
1	5840	60000
1	5841	60000
1	5842	1050000
1	5843	1380000
1	5844	1750000
1	5845	2050000
1	5846	2750000
1	5847	2190000
1	5848	90000
1	5849	30000
1	5930	210000
1	5931	1520000
1	5932	960000
1	5979	30000
1	5980	80000
1	5981	30000
1	5984	20000
1	5985	50000
1	5986	520000
1	5987	10000
1	5988	40000
1	5989	280000
1	5990	70000
1	5991	410000
1	5992	3040000
1	5993	2880000
1	5994	2000000
1	5995	530000
1	6075	780000
1	6076	1080000
1	6077	1280000
1	6115	60000
1	6116	950000
1	6117	30000
1	6119	50000
1	6120	140000
1	6121	130000
1	6122	150000
1	6123	330000
1	6124	1900000
1	6125	1580000
1	6126	20000
1	6206	670000
1	6207	1230000
1	6208	810000
1	6245	30000
1	6246	270000
1	6247	180000
1	6248	650000
1	6249	420000
1	6331	670000
1	6332	1080000
1	6333	20000
1	6368	40000
1	6377	20000
1	6378	380000
