spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
52,0,2.6e+09,0,0,0,26,0,0,0
51,1,1.76e+10,2e+08,0,0,176,2,0,0
50,2,1.359e+11,2.9e+09,3e+08,0,1359,29,3,0
49,3,9.19e+10,4.9e+09,4e+08,0,919,49,4,0
48,4,2.487e+11,8.2e+09,5e+08,0,2487,82,5,0
47,5,94,7,0,0,94,7,0,0
46,6,2.92478e+07,0,0,0,11,0,0,0
45,7,4.22508e+09,2.87327e+08,0,0,549,30,0,0
44,8,1.74217e+07,0,0,0,10,0,0,0
43,9,7.51319e+07,0,0,0,16,0,0,0
42,10,4.43152e+08,2.82775e+07,0,0,74,2,0,0
41,11,2.42928e+08,1.64366e+07,0,0,46,1,0,0
40,12,2.98333e+07,0,0,0,12,0,0,0
39,13,1.85673e+08,0,0,0,14,0,0,0
38,14,5.01477e+07,0,0,0,22,0,0,0
37,15,2.9726e+07,0,0,0,11,0,0,0
36,16,2.42753e+08,0,0,0,39,0,0,0
35,17,1842,37,6,0,1842,37,6,0
34,18,138,0,1,0,138,0,1,0
33,19,758,14,0,0,758,14,0,0
32,20,388,9,1,0,388,9,1,0
31,21,64,0,0,0,64,0,0,0
30,22,1064,19,2,0,1064,19,2,0
29,23,182,1,2,0,182,1,2,0
28,24,47,1,8,0,47,1,8,0
27,25,385,0,2,0,385,0,2,0
26,26,893,4,2,0,893,4,2,0
25,27,920,12,3,0,920,12,3,0
24,28,1088,45,5,0,1088,45,5,0
23,29,1877,33,8,0,1877,33,8,0
22,30,250,4,0,0,250,4,0,0
21,31,624,6,11,0,624,6,11,0
20,32,935,39,9,0,935,39,9,0
19,33,422,0,0,0,422,0,0,0
18,34,81,0,0,0,81,0,0,0
17,35,277,3,1,0,277,3,1,0
16,36,1962,37,8,0,1962,37,8,0
15,37,756,11,4,0,756,11,4,0
14,38,1545,30,1,0,1545,30,1,0
13,39,627,3,1,0,627,3,1,0
12,40,139,0,0,0,139,0,0,0
10,41,1.71567e+08,5.81666e+06,0,0,772,24,0,0
9,42,1.04648e+09,5.42305e+07,0,0,1389,44,0,0
8,43,1.58829e+09,7.09609e+07,0,0,1956,85,0,0
7,44,1.39473e+09,1.03634e+08,0,0,810,33,0,0
6,45,8.86428e+09,4.65154e+07,0,0,1679,32,0,0
5,46,1.79038e+09,9.18579e+07,0,0,902,34,0,0
4,47,1.75639e+07,262110,0,0,95,3,0,0
3,48,1.12078e+09,9.86709e+07,0,0,1780,67,0,0
2,49,4.27608e+10,1.11313e+09,0,0,8344,181,0,0
1,50,3.35875e+10,1.14418e+09,1.08732e+07,0,10262,233,1,0
