id,cost
32822,10578
32823,23797
33712,111
33713,248350
33714,175793
34603,10630
34604,444889
34605,19126
35493,51717
35494,127761
35495,16384
36383,43202
36384,72060
36385,72062
37274,27490
37275,99504
37276,106638
38164,9642
38165,176095
38166,64640
39055,213097
39056,40556
39944,1913
39945,110605
39946,228909
40835,10863
40836,320766
40837,38174
40933,50874
44405,4172
45222,108
45295,19189
45296,14364
45297,15220
46098,115
46106,117
46109,65750
46110,169881
46111,172357
46112,168954
46113,198212
46114,11071
46184,12746
46185,24601
46186,16349
46187,12239
46188,710
46257,63901
46258,125766
46259,72428
46994,51236
46995,149803
46996,189726
46997,152870
46998,202802
46999,170794
47000,122813
47001,87188
47002,159929
47003,130772
47004,42064
47005,137045
47072,3421
47073,6602
47074,11352
47075,41463
47076,13316
47077,8463
47147,66497
47148,88321
47149,45632
47150,101659
47181,104
47182,101
47880,103
47883,25236
47884,150111
47885,93723
47886,36045
47887,12364
47888,10103
47889,126106
47890,94839
47891,15129
47893,35646
47894,53767
47895,147388
47896,52621
47962,521
47963,10636
47964,2607
47965,19525
47966,7471
48038,13152
48039,179415
48040,61752
48041,43272
48072,102
48073,104
48773,42526
48774,132468
48775,8925
48776,10418
48777,143409
48778,279605
48779,174739
48780,27590
48781,30075
48782,30994
48783,132570
48784,195728
48785,184893
48786,48124
48787,101
48788,5904
48790,45252
48791,171993
48792,20084
48853,2184
48854,11401
48855,13932
49662,4248
49663,73875
49664,69803
49665,6832
49666,19507
49667,23916
49668,47890
49669,110211
49670,3476
49671,205875
49672,142735
49673,7929
49674,7423
49675,4300
49676,14415
49677,65657
49678,123574
49679,72080
49680,105919
49681,94735
49682,78916
49817,4445
49818,10457
50546,10174
50547,58916
50548,43590
50549,52646
50550,113977
50551,84690
50552,133791
50553,97343
50554,17998
50555,716
50556,19891
50557,5408
50558,56867
50559,89403
50560,81472
50561,80826
50562,256779
50563,150391
50565,62484
50566,101443
50567,76691
50568,42225
50569,51842
50570,55360
50571,105384
50572,67792
50633,6284
50634,14777
50708,80430
50709,114068
51430,12360
51431,73497
51432,82980
51433,7803
51434,116420
51435,109659
51436,126187
51437,62152
51438,42745
51439,41566
51440,61627
51441,10898
51442,124
51444,208
51445,1435
51446,3798
51447,19441
51448,38470
51449,66688
51450,133916
51451,129097
51452,294631
51453,15433
51459,1751
51599,56071
51600,85953
52317,27320
52318,45922
52319,49527
52320,71009
52321,17396
52322,12751
52323,31344
52324,5728
52325,39159
52326,40876
52327,115
52331,22717
52332,146933
52333,54493
52334,11695
52335,57088
52336,66095
52337,73016
52338,35359
52339,34954
52340,72288
52341,196788
52342,126652
52343,5040
52346,310
52347,132
52895,9574
52896,10816
53208,47804
53209,111141
53210,85683
53212,29634
53213,34567
53214,38842
53215,17967
53224,139184
53225,195076
53226,116507
53227,14379
53229,54077
53230,111933
53231,35389
53235,21670
53786,51965
53787,64126
53788,108733
54097,56343
54098,10087
54100,34456
54101,26791
54117,46342
54118,61325
54119,35862
54120,5357
54126,6534
54227,8536
54660,20420
54675,22227
54676,59535
54677,99515
54678,217
54679,118785
54680,64879
54681,6570
54682,9517
54971,109
54983,19690
54984,52583
54988,98893
54989,60161
54991,1886
54992,36590
54999,11818
55000,38344
55001,56627
55004,47057
55005,8345
55006,19586
55007,75532
55008,233290
55013,77931
55014,81423
55015,27821
55042,73583
55043,204414
55044,78643
55114,18158
55115,44220
55116,71893
55117,148339
55118,63962
55119,22735
55155,14283
55156,14369
55157,5689
55158,7245
55159,4154
55566,21081
55567,29212
55568,142811
