id,pu_area,pu_count
1,33587498928.022213,10262
2,42760787887.87864,8344
3,1120781381.9159822,1780
4,17563875.731566,95
5,1790375431.634388,902
6,8864275332.191103,1679
7,1394725744.0790806,810
8,1588286929.7028902,1956
9,1046482729.6798387,1389
10,171567230.73925707,772
12,139.0,139
13,627.0,627
14,1545.0,1545
15,756.0,756
16,1962.0,1962
17,277.0,277
18,81.0,81
19,422.0,422
20,935.0,935
21,624.0,624
22,250.0,250
23,1877.0,1877
24,1088.0,1088
25,920.0,920
26,893.0,893
27,385.0,385
28,47.0,47
29,182.0,182
30,1064.0,1064
31,64.0,64
32,388.0,388
33,758.0,758
34,138.0,138
35,1842.0,1842
36,242752773.109247,39
37,29725992.112139996,11
38,50147697.12800001,22
39,185673083.6019,14
40,29833338.857100002,12
41,242927634.12663394,46
42,443151501.3105861,74
43,75131940.43320002,16
44,17421676.5561,10
45,4225083154.141312,549
46,29247800.296539996,11
47,94.0,94
48,248700000000.0,2487
49,91900000000.0,919
50,135900000000.0,1359
51,17600000000.0,176
52,2600000000.0,26
