id,cost,status
32822,10578,0
32823,23797,0
33712,111,0
33713,248350,0
33714,175793,0
34603,10630,0
34604,444889,0
34605,19126,0
35493,51717,0
35494,127761,0
35495,16384,0
36383,43202,0
36384,72060,0
36385,72062,0
37274,27490,0
37275,99504,0
37276,106638,0
38164,9642,0
38165,176095,0
38166,64640,0
39055,213097,0
39056,40556,0
39944,1913,0
39945,110605,0
39946,228909,0
40835,10863,0
40836,320766,0
40837,38174,0
40933,50874,0
44405,4172,0
45222,108,0
45295,19189,0
45296,14364,0
45297,15220,0
46098,115,0
46106,117,0
46109,65750,0
46110,169881,0
46111,172357,0
46112,168954,0
46113,198212,0
46114,11071,0
46184,12746,0
46185,24601,0
46186,16349,0
46187,12239,0
46188,710,0
46257,63901,0
46258,125766,0
46259,72428,0
46994,51236,0
46995,149803,0
46996,189726,0
46997,152870,0
46998,202802,0
46999,170794,0
47000,122813,0
47001,87188,0
47002,159929,0
47003,130772,0
47004,42064,0
47005,137045,0
47072,3421,0
47073,6602,0
47074,11352,0
47075,41463,0
47076,13316,0
47077,8463,0
47147,66497,0
47148,88321,0
47149,45632,0
47150,101659,0
47181,104,0
47182,101,0
47880,103,0
47883,25236,0
47884,150111,0
47885,93723,0
47886,36045,0
47887,12364,0
47888,10103,0
47889,126106,0
47890,94839,0
47891,15129,0
47893,35646,0
47894,53767,0
47895,147388,0
47896,52621,0
47962,521,0
47963,10636,0
47964,2607,0
47965,19525,0
47966,7471,0
48038,13152,0
48039,179415,0
48040,61752,0
48041,43272,0
48072,102,0
48073,104,0
48773,42526,0
48774,132468,0
48775,8925,0
48776,10418,0
48777,143409,0
48778,279605,0
48779,174739,0
48780,27590,0
48781,30075,0
48782,30994,0
48783,132570,0
48784,195728,0
48785,184893,0
48786,48124,0
48787,101,0
48788,5904,0
48790,45252,0
48791,171993,0
48792,20084,0
48853,2184,0
48854,11401,0
48855,13932,0
49662,4248,0
49663,73875,0
49664,69803,0
49665,6832,0
49666,19507,0
49667,23916,0
49668,47890,0
49669,110211,0
49670,3476,0
49671,205875,0
49672,142735,0
49673,7929,0
49674,7423,0
49675,4300,0
49676,14415,0
49677,65657,0
49678,123574,0
49679,72080,0
49680,105919,0
49681,94735,0
49682,78916,0
49817,4445,0
49818,10457,0
50546,10174,0
50547,58916,0
50548,43590,0
50549,52646,0
50550,113977,0
50551,84690,0
50552,133791,0
50553,97343,0
50554,17998,0
50555,716,0
