species,pu,amount
1,32822,302521.507188
25,32822,1
1,32823,257492.01125
25,32823,1
25,33712,1
1,33713,1803185.720716
25,33713,1
1,33714,676763.563886
25,33714,1
1,34603,510209.698357
25,34603,1
1,34604,2483386.702964
25,34604,1
1,34605,479390.80494
25,34605,1
1,35493,952903.674317
25,35493,1
1,35494,802186.991683
25,35494,1
1,35495,882451.354819
25,35495,1
1,36383,948047.680617
25,36383,1
1,36384,1733219.933598
25,36384,1
1,36385,838712.774663
25,36385,1
1,37274,690543.773281
25,37274,1
1,37275,1549256.196156
25,37275,1
1,37276,1465831.151876
25,37276,1
1,38164,305051.036433
25,38164,1
1,38165,2492213.482293
25,38165,1
1,38166,1548392.204691
25,38166,1
1,39055,1507947.429194
25,39055,1
1,39056,1067345.616402
25,39056,1
1,39944,3675.292403
25,39944,1
1,39945,671557.89091
25,39945,1
1,39946,1246669.739099
25,39946,1
1,40835,375181.516901
25,40835,1
1,40836,1781472.14084
25,40836,1
1,40837,534212.815663
25,40837,1
1,40933,5841436.962641
31,40933,1
1,44405,225509.495858
25,44405,1
26,45222,1
1,45295,2037958.048664
25,45295,1
1,45296,1092748.869897
25,45296,1
1,45297,1249026.719105
25,45297,1
26,46098,1
26,46106,1
1,46109,1971073.224127
26,46109,1
1,46110,5971692.33942
26,46110,1
1,46111,4741703.509929
26,46111,1
1,46112,5078517.206082
26,46112,1
1,46113,6668315.313095
26,46113,1
1,46114,958287.352575
26,46114,1
1,46184,579191.256731
25,46184,1
48,46184,100000000
1,46185,1991195.665468
25,46185,1
1,46186,1002613.397624
25,46186,1
1,46187,1031686.484671
25,46187,1
1,46188,29540.756844
25,46188,1
1,46257,1416713.828421
2,46257,591102.344883
31,46257,1
1,46258,3727909.639102
2,46258,1689893.368165
31,46258,1
1,46259,3444206.751822
2,46259,35228.636774
31,46259,1
1,46994,1185143.014775
26,46994,1
1,46995,3063636.55358
26,46995,1
1,46996,6052727.145735
26,46996,1
1,46997,5145260.199186
26,46997,1
1,46998,7237283.917659
26,46998,1
1,46999,2930822.03916
26,46999,1
1,47000,10840873.271085
2,47000,2597892.188636
26,47000,1
1,47001,8365229.70622
2,47001,1444638.288255
26,47001,1
1,47002,9558453.598777
2,47002,1497066.437433
26,47002,1
1,47003,2643897.397522
2,47003,255857.526652
26,47003,1
1,47004,631875.733263
26,47004,1
1,47005,4629395.300252
26,47005,1
1,47072,584393.556976
25,47072,1
48,47072,100000000
1,47073,1026698.629161
25,47073,1
48,47073,100000000
1,47074,1703882.503302
25,47074,1
48,47074,100000000
1,47075,1492161.026242
25,47075,1
48,47075,100000000
1,47076,578834.039195
25,47076,1
48,47076,100000000
1,47077,505802.983113
25,47077,1
1,47147,732591.51622
31,47147,1
1,47148,2916341.827661
2,47148,3669046.03621
31,47148,1
1,47149,2571609.68814
2,47149,3413232.382208
31,47149,1
1,47150,6207188.55314
2,47150,194464.295346
31,47150,1
31,47181,1
31,47182,1
26,47880,1
1,47883,773805.397216
26,47883,1
1,47884,2523921.98618
26,47884,1
1,47885,2362978.211145
26,47885,1
1,47886,924408.480624
26,47886,1
1,47887,102925.343581
26,47887,1
1,47888,764573.165247
26,47888,1
1,47889,5078676.791825
2,47889,1454320.458403
