id,cost,status
1,26598.2,0
2,26239.4,0
3,25883.8,0
4,28762.1,0
5,28388.7,0
6,28015.9,0
7,27644,0
8,27273.9,0
9,26905.8,0
10,26540.4,0
11,26178.4,0
12,25819.8,0
13,30974.1,0
14,30608.2,0
15,30237.7,0
16,29863.4,0
17,29486.5,0
18,29108.1,0
19,28728.9,0
20,28349.8,0
21,27971.6,0
22,27594.8,0
23,27220.1,0
24,26848.1,0
25,26479.4,0
26,26114,0
27,25752.8,0
28,25395.7,0
29,33076.5,0
30,32753.1,0
31,32417.6,0
32,32071.2,0
33,31715.8,0
34,31352.4,0
35,30982.6,0
36,30607.4,0
37,30228.1,0
38,29846,0
39,29461.7,0
40,29076.4,0
41,28691.1,0
42,28306.3,0
43,27922.9,0
44,27541.4,0
45,27162.6,0
46,26786.9,0
47,26414.7,0
48,26046.5,0
49,25682.6,0
50,25323.4,0
51,33471.2,0
52,33147.8,0
53,32811.1,0
54,32463.2,0
55,32104.9,0
56,31738.4,0
57,31364.5,0
58,30984.9,0
59,30600.6,0
60,30212.8,0
61,29822.9,0
62,29431.5,0
63,29039.7,0
64,28648.3,0
65,28258.2,0
66,27869.8,0
67,27484,0
68,27101.2,0
69,26722.1,0
70,26346.9,0
71,25975.9,0
72,25609.7,0
73,25248.3,0
74,24892.2,0
75,33872.6,0
76,33549.2,0
77,33212,0
78,32862.2,0
79,32501.6,0
80,32131.9,0
81,31754.3,0
82,31370.2,0
83,30980.9,0
84,30587.8,0
85,30191.9,0
86,29794.4,0
87,29396,0
88,28997.9,0
89,28600.9,0
90,28205.5,0
91,27812.6,0
92,27422.6,0
93,27036.2,0
94,26653.7,0
95,26275.6,0
96,25902.1,0
97,25533.7,0
98,25170.5,0
99,24812.7,0
100,24460.6,0
101,34586.1,0
102,34280.1,0
103,33957.4,0
104,33619.7,0
105,33268.7,0
106,32906,0
107,32533.2,0
108,32151.8,0
109,31763.4,0
110,31369.2,0
111,30970.6,0
112,30568.9,0
113,30165.1,0
114,29760.4,0
115,29355.4,0
116,28951.3,0
117,28548.8,0
118,28148.6,0
119,27751.2,0
120,27357.4,0
121,26967.5,0
122,26581.9,0
123,26201.1,0
124,25825.4,0
125,25454.9,0
126,25090.2,0
127,24731,0
128,24377.7,0
129,34997.8,0
130,34693.9,0
131,34372.3,0
132,34034.6,0
133,33682.7,0
134,33318,0
135,32942.5,0
136,32557.5,0
137,32164.8,0
138,31765.9,0
139,31361.9,0
140,30954.2,0
141,30544.2,0
142,30132.7,0
143,29720.9,0
144,29309.7,0
145,28899.9,0
146,28492.2,0
147,28087.2,0
148,27685.8,0
149,27288.3,0
150,26895.2,0
151,26506.8,0
152,26123.6,0
153,25745.8,0
154,25373.5,0
155,25007.3,0
156,24646.9,0
157,24292.6,0
158,23944.5,0
159,35415.1,0
160,35114,0
161,34793.9,0
162,34456.8,0
163,34104.1,0
164,33737.8,0
165,33359.8,0
166,32971.5,0
167,32574.6,0
168,32170.9,0
169,31761.6,0
170,31348.1,0
171,30931.6,0
172,30513.5,0
173,30094.7,0
174,29676.1,0
175,29258.8,0
176,28843.5,0
177,28431,0
178,28021.7,0
179,27616.5,0
180,27215.5,0
181,26819.4,0
182,26428.5,0
183,26043,0
184,25663.2,0
185,25289.6,0
186,24921.9,0
187,24560.5,0
188,24205.4,0
189,23856.7,0
190,36113.8,0
191,35838.2,0
192,35540.5,0
193,35222.3,0
194,34886,0
195,34533,0
196,34165.5,0
197,33785.2,0
198,33393.8,0
199,32993.1,0
200,32584.6,0
201,32169.9,0
202,31750.6,0
203,31327.9,0
204,30903,0
205,30477,0
206,30051.1,0
207,29626.2,0
208,29203.1,0
209,28782.7,0
210,28365.5,0
211,27952.2,0
212,27543.2,0
213,27139.2,0
214,26740.3,0
215,26346.9,0
216,25959.4,0
217,25578.1,0
218,25203,0
219,24834.1,0
220,24471.9,0
221,24116.1,0
222,23767.2,0
223,23424.7,0
224,36537.1,0
225,36266.7,0
226,35972.8,0
227,35657.4,0
228,35322.5,0
229,34969.7,0
230,34601.2,0
231,34218.9,0
232,33824.7,0
233,33420.1,0
234,33007.2,0
235,32587.2,0
236,32162,0
237,31732.9,0
238,31301.2,0
239,30868.1,0
240,30434.7,0
241,30002,0
242,29571.1,0
243,29142.6,0
244,28717.1,0
245,28295.7,0
246,27878.4,0
247,27466.3,0
248,27059.2,0
249,26657.9,0
250,26262.5,0
251,25873.2,0
252,25490.2,0
253,25113.9,0
254,24744.2,0
255,24381.3,0
256,24025.1,0
257,23675.6,0
258,23333.1,0
259,36965,0
260,36700.6,0
261,36411.4,0
262,36099.2,0
263,35766,0
264,35414.1,0
265,35045,0
266,34661.1,0
267,34264.2,0
268,33856,0
269,33438.7,0
270,33013.6,0
271,32582.6,0
272,32147.2,0
273,31708.5,0
274,31268.2,0
275,30827.2,0
276,30386.6,0
277,29947.6,0
278,29510.8,0
279,29077,0
280,28647.1,0
281,28221.6,0
282,27800.9,0
283,27385.5,0
284,26975.8,0
285,26572.3,0
286,26174.9,0
287,25784.1,0
288,25399.9,0
289,25022.5,0
290,24652.2,0
291,24288.6,0
292,23932,0
293,23582.6,0
294,23240.1,0
295,22904.4,0
296,37626.8,0
297,37397.4,0
298,37139.8,0
299,36855.9,0
300,36547.5,0
301,36217,0
302,35866,0
303,35497,0
304,35111.7,0
305,34712.5,0
306,34301,0
307,33879.4,0
308,33449.3,0
309,33012.6,0
310,32570.8,0
311,32125.3,0
312,31677.7,0
313,31228.9,0
314,30780.4,0
315,30333.1,0
316,29887.8,0
317,29445.6,0
318,29007.1,0
319,28572.8,0
320,28143.4,0
321,27719.5,0
322,27301.2,0
323,26889.2,0
324,26483.6,0
325,26084.5,0
326,25692.3,0
327,25307.1,0
328,24929,0
329,24558,0
330,24194.1,0
331,23837.3,0
332,23487.9,0
333,23145.4,0
334,22810,0
335,38054,0
336,37833.7,0
337,37583.8,0
338,37306,0
339,37002.3,0
340,36674.9,0
341,36325.8,0
342,35957.1,0
343,35571,0
344,35169.8,0
345,34755.3,0
346,34329.5,0
347,33894.7,0
348,33452.3,0
349,33004,0
350,32551.7,0
351,32096.6,0
352,31640,0
353,31183.4,0
354,30727.6,0
355,30273.9,0
356,29822.9,0
357,29375.4,0
358,28932.3,0
359,28494.1,0
360,28061.3,0
361,27634.3,0
362,27213.5,0
363,26799.3,0
364,26391.8,0
365,25991.5,0
366,25598,0
367,25211.9,0
368,24833.1,0
369,24461.6,0
370,24097.5,0
371,23740.8,0
372,23391.5,0
373,23049.3,0
374,22714.5,0
375,22386.6,0
376,38484.2,0
377,38274.1,0
378,38032.8,0
379,37761.9,0
380,37463.6,0
381,37140,0
382,36793.2,0
383,36425.5,0
384,36039,0
385,35636.2,0
386,35218.9,0
387,34789.5,0
388,34349.8,0
389,33901.8,0
390,33447.4,0
391,32987.9,0
392,32525.4,0
393,32061,0
394,31596.1,0
395,31131.7,0
396,30669.1,0
397,30209.2,0
398,29752.7,0
399,29300.5,0
400,28853.1,0
401,28411.3,0
402,27975.3,0
403,27545.5,0
404,27122.4,0
405,26706.3,0
406,26297.3,0
407,25895.6,0
408,25501.4,0
409,25114.6,0
410,24735.3,0
411,24363.6,0
412,23999.4,0
413,23642.8,0
414,23293.6,0
415,22952,0
416,22617.6,0
417,22290.4,0
418,21970.3,0
419,39081.5,0
420,38917.1,0
421,38718.1,0
422,38486.1,0
423,38223.2,0
424,37930.9,0
425,37612,0
426,37268.2,0
427,36902,0
428,36515.7,0
429,36111.5,0
430,35691.9,0
431,35259,0
432,34814.7,0
433,34361.4,0
434,33900.6,0
435,33434.4,0
436,32964.4,0
437,32492,0
438,32018.7,0
439,31545.6,0
440,31074.1,0
441,30604.9,0
442,30139.2,0
443,29677.6,0
444,29221,0
445,28769.7,0
446,28324.4,0
447,27885.5,0
448,27453.3,0
449,27028.2,0
450,26610.4,0
451,26200.1,0
452,25797.2,0
453,25402.2,0
454,25014.9,0
455,24635.4,0
456,24263.6,0
457,23899.5,0
458,23543.3,0
459,23194.5,0
460,22853.3,0
461,22519.6,0
462,22193,0
463,21873.9,0
464,39502.6,0
465,39352,0
466,39165.2,0
467,38943.8,0
468,38689.6,0
469,38404.5,0
470,38090.8,0
471,37750.8,0
472,37386.8,0
473,37001.1,0
474,36596.3,0
475,36174.7,0
476,35738.5,0
477,35290,0
478,34831.3,0
479,34364.4,0
480,33891.3,0
481,33413.8,0
482,32933.4,0
483,32451.5,0
484,31969.6,0
485,31488.9,0
486,31010.4,0
487,30535.3,0
488,30064.1,0
489,29597.7,0
490,29136.8,0
491,28682,0
492,28233.5,0
493,27792,0
494,27357.8,0
495,26930.9,0
