"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
4361820,,7948945.446943,8907831.894000,0,2,0,0,yes,1.000000
4361818,,185868955.447226,229718233.224000,0,17,0,0,yes,1.000000
4361794,,2882061.849598,4008229.213840,0,4,0,0,yes,1.000000
4361793,,1126599.673114,2292381.295787,0,2,0,0,yes,1.000000
4361792,,3023351.433488,3055989.800300,0,2,0,0,yes,1.000000
4361790,,3485980.025518,5054079.096600,0,3,0,0,yes,1.000000
4361788,,187886.065182,591400.367100,0,1,0,0,yes,1.000000
4361787,,59446.772211,61247.699610,0,1,0,0,yes,1.000000
4361776,,4320161.074814,10642083.311000,0,2,0,0,yes,1.000000
4361774,,3478078.870803,5635708.020100,0,2,0,0,yes,1.000000
4361773,,459311.256639,655045.434100,0,1,0,0,yes,1.000000
4361772,,1241833.031584,3663268.586000,0,3,0,0,yes,1.000000
4361703,,7435411.093550,8771718.721920,0,10,0,0,yes,1.000000
4361701,,10369137.014190,19668872.272300,0,6,0,0,yes,1.000000
4361700,,16322579.594019,57342351.551250,0,16,0,0,yes,1.000000
4361698,,4802648.447308,19501857.138000,0,10,0,0,yes,1.000000
4361696,,5229877.360352,15316549.415583,0,15,0,0,yes,1.000000
4361695,,118615.702480,775515.262100,0,1,0,0,yes,1.000000
4361693,,854744.770633,2764416.486530,0,3,0,0,yes,1.000000
4361691,,2509982.011570,11022355.145400,0,4,0,0,yes,1.000000
4361690,,5536706.394725,6925218.157000,0,1,0,0,yes,1.000000
4361688,,45007.371109,54930.242862,0,2,0,0,yes,1.000000
4361687,,444225.221604,3860483.562000,0,2,0,0,yes,1.000000
4361619,,1564961.886751,1663387.569035,0,4,0,0,yes,1.000000
4361617,,482842.800590,4665333.136400,0,2,0,0,yes,1.000000
4361616,,923553.608827,5718618.682400,0,3,0,0,yes,1.000000
4361615,,5213.637214,52136.372140,0,1,0,0,yes,1.000000
4361611,,515423.649500,4142734.417000,0,1,0,0,yes,1.000000
4361603,,548946.958990,2416993.257000,0,1,0,0,yes,1.000000
4361598,,86297.138110,862971.381100,0,1,0,0,yes,1.000000
4361583,,756433.372057,830428.642077,0,4,0,0,yes,1.000000
4361581,,461600.271279,530106.433900,0,1,0,0,yes,1.000000
4361580,,2048304.759589,4966290.833930,0,8,0,0,yes,1.000000
4361575,,486876.900944,1561405.954775,0,4,0,0,yes,1.000000
4361565,,139083.984962,984530.244650,0,3,0,0,yes,1.000000
4361562,,1034902.397215,2800422.854051,0,2,0,0,yes,1.000000
4361521,,266503.904621,333816.183800,0,1,0,0,yes,1.000000
4361519,,309026.757372,492786.711900,0,1,0,0,yes,1.000000
3351793,,434250.715884,1167966.675190,0,2,0,0,yes,1.000000
3351774,,2545495.969892,10514411.125400,0,5,0,0,yes,1.000000
3351772,,1498478.656992,5702124.819620,0,5,0,0,yes,1.000000
3351771,,115005.441223,482452.424800,0,1,0,0,yes,1.000000
3351768,,70989.410880,709894.108800,0,1,0,0,yes,1.000000
3351766,,88982.764214,517703.525800,0,1,0,0,yes,1.000000
3351765,,514728.962600,1415883.970000,0,1,0,0,yes,1.000000
3351764,,299784.790690,639455.307600,0,1,0,0,yes,1.000000
3351763,,233928.221050,1241002.131000,0,1,0,0,yes,1.000000
3351731,,8989616.213169,28677046.801600,0,5,0,0,yes,1.000000
3351729,,17685126.848047,21220178.638600,0,5,0,0,yes,1.000000
3351728,,1899892.108729,5224985.166290,0,3,0,0,yes,1.000000
3351727,,113875.664200,201676.511500,0,1,0,0,yes,1.000000
3351726,,1231365.313540,1599571.537200,0,2,0,0,yes,1.000000
3351724,,452744.144950,1674854.944400,0,2,0,0,yes,1.000000
3351721,,353146.306251,1833365.423410,0,2,0,0,yes,1.000000
3351720,,2703086.057528,14511307.524000,0,2,0,0,yes,1.000000
3351719,,18846532.041837,21895327.255690,0,3,0,0,yes,1.000000
3351716,,178781.804617,603120.053700,0,2,0,0,yes,1.000000
3351703,,7791786.989687,16992928.172000,0,2,0,0,yes,1.000000
3351702,,497147.080230,3146407.565300,0,2,0,0,yes,1.000000
3351701,,10897706.033175,20483690.068000,0,4,0,0,yes,1.000000
3351700,,4760041.149420,8221724.853900,0,4,0,0,yes,1.000000
3351699,,69940.396840,667292.903200,0,1,0,0,yes,1.000000
3351698,,8960582.092410,18663254.925000,0,2,0,0,yes,1.000000
3351696,,2184529.850649,3522771.731900,0,3,0,0,yes,1.000000
