"planning_unit","number"
57826,12
57825,14
57824,11
57823,13
57822,14
57821,16
57820,17
57819,18
57818,14
57817,14
57816,6
57815,10
57814,13
57813,13
57812,22
57811,17
57810,19
57809,21
57808,20
57807,17
57806,16
57805,26
57804,6
57803,11
57802,15
57801,14
57800,20
57799,24
57798,21
57797,23
57796,22
57795,23
57794,18
57793,28
57792,33
57791,0
57790,6
57789,10
57788,14
57787,16
57786,20
57785,25
57784,24
57783,25
57782,25
57781,24
57780,23
57779,26
57778,35
57777,40
57776,43
57775,0
57774,0
57773,5
57772,9
57771,13
57770,16
57769,20
57768,24
57767,25
57766,29
57765,27
57764,25
57763,26
57762,31
57761,35
57760,41
57759,48
57758,48
57757,53
57756,0
57755,0
57754,3
57753,8
57752,12
57751,15
57750,18
57749,24
57748,29
57747,26
57746,32
57745,27
57744,26
57743,32
57742,37
57741,42
57740,47
57739,49
57738,56
57737,59
57736,0
57735,0
57734,0
57733,5
57732,9
57731,13
57730,18
57729,22
57728,30
57727,29
57726,30
57725,32
57724,29
57723,31
57722,42
57721,43
57720,46
57719,52
57718,56
57717,60
57716,65
57715,0
57714,0
57713,0
57712,3
57711,8
57710,12
57709,17
57708,22
57707,24
57706,33
57705,29
57704,34
57703,30
57702,32
57701,37
57700,47
57699,47
57698,52
57697,58
57696,63
57695,65
57694,71
57693,0
57692,0
57691,0
57690,3
57689,5
57688,12
57687,14
57686,18
57685,24
57684,32
57683,31
57682,36
57681,33
57680,36
57679,35
57678,46
57677,48
57676,51
57675,60
57674,64
57673,68
57672,71
57671,76
57670,82
57669,0
57668,0
57667,0
57666,0
57665,1
57664,4
57663,9
57662,13
57661,17
57660,23
57659,28
57658,32
57657,33
57656,35
57655,33
57654,38
57653,41
57652,50
57651,49
57650,57
57649,65
57648,67
57647,72
57646,76
57645,82
57644,85
57643,0
57642,0
57641,0
57640,0
57639,1
57638,3
57637,7
57636,11
57635,14
57634,19
57633,26
57632,31
57631,34
57630,36
57629,35
57628,40
57627,40
57626,50
57625,51
57624,58
57623,69
57622,67
57621,74
57620,75
57619,81
57618,85
57617,94
57616,0
57615,0
57614,0
57613,0
57612,1
57611,1
57610,6
57609,9
57608,12
57607,18
57606,23
57605,29
57604,34
57603,35
57602,35
57601,34
57600,42
57599,45
57598,54
57597,57
57596,62
57595,70
57594,72
57593,78
57592,81
57591,86
57590,94
57589,98
57588,0
57587,0
57586,0
57585,0
57584,0
57583,1
57582,4
57581,7
57580,11
57579,12
57578,21
57577,24
57576,33
57575,36
57574,35
57573,34
57572,41
57571,45
57570,51
57569,54
57568,62
57567,71
57566,71
57565,78
57564,81
57563,85
57562,93
57561,98
57560,100
57559,100
57558,0
57557,0
57556,0
57555,0
57554,0
57553,1
57552,2
57551,6
57550,8
57549,11
57548,16
57547,22
57546,29
57545,34
57544,37
57543,33
57542,35
57541,42
57540,48
57539,55
57538,60
57537,67
57536,71
57535,72
57534,79
57533,83
57532,93
57531,98
57530,100
57529,100
57528,100
57527,36
57526,0
57525,0
57524,0
57523,0
57522,0
57521,0
57520,2
57519,4
57518,7
57517,8
57516,11
57515,17
57514,22
57513,32
57512,36
57511,37
57510,35
57509,37
57508,43
57507,54
57506,57
57505,66
57504,71
57503,74
57502,80
57501,82
57500,90
57499,95
57498,100
57497,100
57496,100
57495,100
57494,36
57493,0
57492,0
57491,0
57490,0
57489,0
57488,0
57487,1
57486,1
57485,6
57484,7
57483,8
57482,11
57481,18
57480,28
57479,36
57478,36
57477,33
57476,33
57475,39
57474,51
57473,55
57472,62
57471,68
57470,72
57469,74
57468,80
57467,86
57466,95
57465,98
57464,100
57463,100
57462,100
57461,87
57460,17
57459,10
57458,0
57457,0
57456,0
57455,0
57454,0
57453,0
57452,0
57451,0
57450,0
57449,0
57448,0
57447,0
57446,0
57445,0
57444,0
57443,1
57442,8
57441,7
57440,8
57439,11
57438,19
57437,29
57436,36
57435,32
57434,30
57433,33
57432,40
57431,53
57430,61
57429,66
57428,69
57427,75
57426,80
57425,83
57424,89
57423,97
57422,100
57421,100
57420,100
57419,100
57418,38
57417,13
57416,10
57415,0
57414,0
57413,1
57412,0
57411,0
57410,0
57409,0
57408,0
57407,0
57406,19
57405,37
57404,0
57403,0
57402,0
57401,0
57400,0
57399,0
57398,0
57397,0
57396,0
57395,3
57394,7
57393,6
57392,8
57391,13
57390,20
57389,27
57388,32
57387,27
57386,28
57385,34
57384,47
57383,55
57382,63
57381,66
57380,72
57379,74
57378,80
57377,87
57376,94
57375,98
57374,100
57373,100
57372,100
57371,87
57370,17
57369,11
57368,9
57367,0
57366,0
57365,0
57364,0
57363,7
57362,1
57361,0
57360,0
57359,0
57358,0
57357,0
57356,19
57355,41
57354,59
57353,0
57352,0
57351,0
57350,0
57349,0
57348,0
57347,0
57346,0
57345,0
57344,0
57343,7
57342,6
57341,6
57340,9
57339,14
57338,20
57337,30
57336,30
57335,27
57334,26
57333,42
57332,55
57331,56
57330,65
57329,68
57328,73
57327,79
57326,85
57325,88
57324,97
57323,100
57322,100
57321,100
57320,100
57319,37
57318,13
57317,10
57316,8
57315,0
57314,0
57313,0
57312,3
57311,2
57310,10
57309,12
57308,0
57307,0
57306,0
57305,0
57304,0
57303,15
57302,35
57301,66
57300,65
57299,63
57298,0
57297,0
57296,0
57295,0
57294,0
57293,0
57292,0
57291,0
57290,0
57289,0
57288,2
57287,6
57286,6
57285,7
57284,10
57283,14
57282,18
57281,28
57280,26
57279,22
57278,32
57277,46
57276,57
57275,59
57274,65
57273,72
57272,72
57271,80
57270,87
57269,94
57268,99
57267,100
57266,100
57265,100
57264,86
57263,17
57262,11
57261,9
57260,3
57259,0
57258,1
57257,0
57256,0
57255,1
57254,2
57253,9
57252,14
57251,0
57250,0
57249,0
57248,0
57247,0
57246,5
57245,32
57244,69
57243,76
57242,65
57241,64
57240,0
57239,0
57238,0
57237,0
57236,0
57235,0
57234,0
57233,0
57232,0
57231,0
57230,0
57229,2
57228,6
57227,6
57226,7
57225,10
57224,14
57223,18
57222,26
57221,25
57220,21
57219,40
57218,51
57217,53
57216,63
57215,66
57214,72
57213,78
57212,83
57211,86
57210,97
57209,100
57208,100
57207,100
57206,100
57205,29
57204,13
57203,10
57202,8
57201,1
57200,1
57199,1
57198,0
57197,0
57196,0
57195,1
57194,0
57193,7
57192,17
57191,13
57190,0
57189,0
57188,0
57187,0
57186,0
57185,29
57184,58
57183,85
57182,67
57181,66
57180,76
57179,1
57178,0
57177,0
57176,0
57175,0
57174,0
57173,0
57172,0
57171,0
57170,0
57169,0
57168,0
57167,0
57166,4
57165,6
57164,7
57163,7
57162,9
57161,12
57160,17
57159,21
57158,20
57157,26
57156,44
57155,49
57154,57
57153,60
57152,67
57151,71
57150,78
57149,86
57148,92
57147,99
57146,100
57145,100
57144,100
57143,64
57142,16
57141,11
57140,9
57139,4
57138,1
57137,1
57136,1
57135,0
57134,0
57133,0
57132,5
57131,0
57130,3
57129,1
57128,12
57127,18
57126,0
57125,0
57124,0
57123,0
57122,0
57121,14
57120,46
57119,84
57118,85
57117,68
57116,79
57115,62
57114,1
57113,0
57112,0
57111,0
57110,0
57109,0
57108,0
57107,0
57106,0
57105,0
57104,0
57103,0
57102,0
57101,1
57100,4
57099,6
57098,7
57097,6
57096,7
57095,13
57094,13
57093,17
57092,21
57091,31
57090,44
57089,47
57088,59
57087,59
57086,66
57085,74
57084,79
57083,85
57082,96
57081,100
57080,100
57079,100
57078,94
57077,20
57076,14
57075,10
57074,8
57073,3
57072,1
57071,1
57070,1
57069,0
57068,0
57067,1
57066,0
57065,3
57064,2
57063,3
57062,0
57061,8
57060,23
57059,7
57058,0
57057,0
57056,0
57055,0
57054,0
57053,39
57052,75
57051,90
57050,70
57049,74
57048,82
57047,17
57046,1
57045,0
57044,0
57043,0
57042,0
57041,0
57040,0
57039,0
57038,0
57037,0
57036,0
57035,0
57034,0
57033,0
57032,2
57031,4
57030,5
57029,6
57028,6
57027,7
57026,11
57025,11
57024,17
57023,22
57022,35
57021,37
57020,50
57019,56
57018,61
57017,65
57016,75
57015,80
57014,87
57013,98
57012,100
57011,100
57010,95
57009,27
57008,18
57007,13
57006,9
57005,4
57004,1
57003,1
57002,1
57001,0
57000,0
56999,0
56998,0
56997,0
56996,13
56995,2
56994,3
56993,8
56992,0
56991,9
56990,17
56989,15
56988,0
56987,0
56986,0
56985,0
56984,0
56983,12
56982,56
56981,88
56980,90
56979,74
56978,86
56977,68
56976,7
56975,1
56974,0
56973,0
56972,0
56971,0
56970,0
56969,0
56968,0
56967,0
56966,0
56965,0
56964,0
56963,0
56962,0
56961,0
56960,2
56959,3
56958,4
56957,5
56956,3
56955,6
56954,7
56953,10
56952,18
56951,21
56950,37
56949,38
56948,48
56947,55
56946,60
56945,62
56944,73
56943,77
56942,86
56941,99
56940,100
56939,88
56938,33
56937,19
56936,16
56935,11
56934,7
56933,3
56932,1
56931,1
56930,1
56929,0
56928,0
56927,0
56926,0
56925,0
56924,0
56923,16
56922,5
56921,6
56920,7
56919,2
56918,5
56917,11
56916,17
56915,0
56914,0
56913,0
56912,0
56911,0
56910,0
56909,41
56908,87
56907,91
56906,75
56905,75
56904,86
56903,24
56902,2
56901,1
56900,0
56899,0
56898,0
56897,0
56896,0
56895,0
56894,0
56893,0
56892,0
56891,0
56890,0
56889,0
56888,0
56887,0
56886,1
56885,2
56884,2
56883,2
56882,3
56881,3
56880,6
56879,7
56878,12
56877,17
56876,28
56875,31
56874,40
56873,43
56872,52
56871,57
56870,60
56869,69
56868,68
56867,74
56866,97
56865,80
56864,36
56863,22
56862,18
56861,15
56860,8
56859,4
56858,2
56857,1
56856,1
56855,0
56854,0
56853,0
56852,0
56851,0
56850,0
56849,0
56848,0
56847,16
56846,19
56845,4
56844,3
56843,4
56842,4
56841,8
56840,18
56839,2
56838,0
56837,0
56836,0
56835,0
56834,0
56833,12
56832,60
56831,95
56830,92
56829,76
56828,88
56827,79
56826,9
56825,1
56824,0
56823,0
56822,0
56821,0
56820,0
56819,0
56818,0
56817,0
56816,0
56815,0
56814,0
56813,0
56812,0
56811,0
56810,0
56809,0
56808,0
56807,1
56806,1
56805,0
56804,1
56803,4
56802,6
56801,9
56800,11
56799,20
56798,26
56797,30
56796,35
56795,41
56794,50
56793,53
56792,56
56791,38
56790,37
56789,68
56788,72
56787,42
56786,26
56785,20
56784,17
56783,10
56782,7
56781,2
56780,1
56779,1
56778,1
56777,0
56776,0
56775,0
56774,0
56773,0
56772,0
56771,0
56770,0
56769,11
56768,9
56767,15
56766,7
56765,4
56764,2
56763,2
56762,4
56761,18
56760,10
56759,0
56758,0
56757,0
56756,0
56755,0
56754,0
56753,38
56752,100
56751,96
56750,76
56749,76
56748,90
56747,34
56746,3
56745,1
56744,0
56743,0
56742,0
56741,0
56740,0
56739,0
56738,0
56737,0
56736,0
56735,0
56734,0
56733,0
56732,0
56731,0
56730,0
56729,0
56728,0
56727,0
56726,1
56725,1
56724,0
56723,1
56722,5
56721,4
56720,5
56719,12
56718,21
56717,20
56716,26
56715,32
56714,37
56713,45
56712,45
56711,30
56710,18
56709,35
56708,55
56707,41
56706,28
56705,22
56704,19
56703,15
56702,8
56701,4
56700,1
56699,1
56698,1
56697,0
56696,0
56695,0
56694,0
56693,0
56692,0
56691,0
56690,1
56689,0
56688,7
56687,19
56686,61
56685,18
56684,6
56683,4
56682,0
56681,3
56680,11
56679,14
56678,0
56677,0
56676,0
56675,0
56674,0
56673,0
56672,12
56671,56
56670,99
56669,90
56668,76
56667,93
56666,85
56665,12
56664,1
56663,0
56662,0
56661,0
56660,0
56659,0
56658,0
56657,0
56656,0
56655,0
56654,0
56653,0
56652,0
56651,0
56650,0
56649,0
56648,0
56647,0
56646,0
56645,0
56644,0
56643,1
56642,0
56641,0
56640,1
56639,3
56638,3
56637,5
56636,12
56635,12
56634,18
56633,24
56632,30
56631,32
56630,41
56629,30
56628,14
56627,17
56626,35
56625,34
56624,30
56623,24
56622,21
56621,17
56620,11
56619,6
56618,2
56617,2
56616,1
56615,0
56614,0
56613,0
56612,0
56611,0
56610,0
56609,0
56608,0
56607,0
56606,4
56605,2
56604,32
56603,79
56602,35
56601,10
56600,3
56599,1
56598,2
56597,3
56596,20
56595,2
56594,0
56593,0
56592,0
56591,0
56590,0
56589,0
56588,21
56587,96
56586,98
56585,79
56584,79
56583,93
56582,50
56581,3
56580,0
56579,0
56578,0
56577,0
56576,0
56575,0
56574,0
56573,0
56572,0
56571,0
56570,0
56569,0
56568,0
56567,0
56566,0
56565,0
56564,0
56563,0
56562,0
56561,0
56560,0
56559,0
56558,0
56557,0
56556,1
56555,3
56554,3
56553,7
56552,10
56551,11
56550,17
56549,23
56548,27
56547,30
56546,28
56545,14
56544,13
56543,22
56542,28
56541,29
56540,25
56539,21
56538,19
56537,14
56536,7
56535,4
56534,1
56533,0
56532,0
56531,0
56530,0
56529,0
56528,0
56527,0
56526,0
56525,0
56524,0
56523,2
56522,1
56521,9
56520,59
56519,87
56518,15
56517,5
56516,1
56515,0
56514,3
56513,15
56512,11
56511,0
56510,0
56509,0
56508,0
56507,0
56506,0
56505,10
56504,54
56503,97
56502,86
56501,71
56500,94
56499,86
56498,14
56497,2
56496,0
56495,0
56494,0
56493,0
56492,0
56491,0
56490,0
56489,0
56488,0
56487,0
56486,0
56485,0
56484,0
56483,0
56482,0
56481,0
56480,0
56479,0
56478,0
56477,0
56476,0
56475,0
56474,0
56473,1
56472,0
56471,2
56470,5
56469,9
56468,9
56467,13
56466,15
56465,21
56464,25
56463,22
56462,15
56461,13
56460,13
56459,26
56458,25
56457,24
56456,22
56455,20
56454,16
56453,9
56452,5
56451,2
56450,1
56449,0
56448,0
56447,0
56446,0
56445,0
56444,0
56443,0
56442,0
56441,0
56440,0
56439,0
56438,0
56437,3
56436,2
56435,17
56434,78
56433,34
56432,9
56431,1
56430,0
56429,2
56428,13
56427,22
56426,0
56425,0
56424,0
56423,0
56422,0
56421,0
56420,1
56419,16
56418,89
56417,93
56416,42
56415,72
56414,92
56413,59
56412,4
56411,0
56410,0
56409,0
56408,0
56407,0
56406,0
56405,0
56404,0
56403,0
56402,0
56401,0
56400,0
56399,0
56398,0
56397,0
56396,0
56395,0
56394,0
56393,0
56392,0
56391,0
56390,0
56389,0
56388,0
56387,0
56386,1
56385,4
56384,4
56383,7
56382,7
56381,11
56380,16
56379,18
56378,19
56377,14
56376,9
56375,12
56374,19
56373,23
56372,22
56371,21
56370,19
56369,18
56368,12
56367,5
56366,2
56365,1
56364,1
56363,0
56362,0
56361,0
56360,0
56359,0
56358,0
56357,0
56356,0
56355,0
56354,0
56353,0
56352,0
56351,2
56350,1
56349,6
56348,19
56347,56
56346,14
56345,1
56344,1
56343,0
56342,4
56341,28
56340,16
56339,0
56338,0
56337,0
56336,0
56335,0
56334,0
56333,9
56332,55
56331,90
56330,45
56329,36
56328,93
56327,88
56326,15
56325,3
56324,0
56323,0
56322,0
56321,0
56320,0
56319,0
56318,0
56317,0
56316,0
56315,0
56314,0
56313,0
56312,0
56311,0
56310,0
56309,0
56308,0
56307,0
56306,0
56305,0
56304,0
56303,0
56302,0
56301,0
56300,0
56299,1
56298,3
56297,3
56296,8
56295,8
56294,11
56293,12
56292,12
56291,12
56290,6
56289,1
56288,6
56287,20
56286,16
56285,19
56284,20
56283,19
56282,14
56281,6
56280,5
56279,2
56278,2
56277,1
56276,0
56275,0
56274,0
56273,0
56272,0
56271,0
56270,0
56269,0
56268,0
56267,0
56266,0
56265,0
56264,4
56263,1
56262,0
56261,45
56260,25
56259,5
56258,0
56257,0
56256,3
56255,20
56254,30
56253,0
56252,0
56251,0
56250,0
56249,0
56248,0
56247,1
56246,18
56245,78
56244,70
56243,31
56242,46
56241,94
56240,65
56239,4
56238,1
56237,0
56236,0
56235,0
56234,0
56233,0
56232,0
56231,0
56230,0
56229,0
56228,0
56227,0
56226,0
56225,0
56224,0
56223,0
56222,0
56221,0
56220,0
56219,0
56218,0
56217,0
56216,0
56215,0
56214,0
56213,1
56212,2
56211,3
56210,6
56209,6
56208,6
56207,11
56206,11
56205,7
56204,5
56203,0
56202,1
56201,10
56200,10
56199,15
56198,18
56197,19
56196,16
56195,9
56194,5
56193,2
56192,2
56191,1
56190,1
56189,0
56188,0
56187,0
56186,0
56185,0
56184,0
56183,0
56182,0
56181,0
56180,0
56179,0
56178,0
56177,1
56176,2
56175,0
56174,1
56173,26
56172,7
56171,2
56170,0
56169,0
56168,13
56167,27
56166,15
56165,0
56164,0
56163,0
56162,0
56161,0
56160,0
56159,4
56158,53
56157,76
56156,33
56155,31
56154,92
56153,93
56152,13
56151,3
56150,0
56149,0
56148,0
56147,0
56146,0
56145,0
56144,0
56143,0
56142,0
56141,0
56140,0
56139,0
56138,0
56137,0
56136,0
56135,0
56134,0
56133,0
56132,0
56131,0
56130,0
56129,0
56128,0
56127,0
56126,0
56125,1
56124,2
56123,4
56122,6
56121,5
56120,6
56119,9
56118,9
56117,4
56116,0
56115,0
56114,1
56113,8
56112,10
56111,15
56110,18
56109,16
56108,11
56107,6
56106,2
56105,3
56104,2
56103,1
56102,1
56101,0
56100,0
56099,0
56098,0
56097,0
56096,0
56095,0
56094,0
56093,0
56092,0
56091,0
56090,0
56089,0
56088,0
56087,0
56086,0
56085,23
56084,12
56083,2
56082,0
56081,1
56080,3
56079,19
56078,22
56077,0
56076,0
56075,0
56074,0
56073,0
56072,0
56071,0
56070,15
56069,69
56068,44
56067,27
56066,44
56065,94
56064,77
56063,3
56062,1
56061,0
56060,0
56059,0
56058,0
56057,0
56056,0
56055,0
56054,0
56053,0
56052,0
56051,0
56050,0
56049,0
56048,0
56047,0
56046,0
56045,0
56044,0
56043,0
56042,0
56041,0
56040,0
56039,0
56038,0
56037,0
56036,2
56035,3
56034,5
56033,5
56032,4
56031,6
56030,6
56029,4
56028,0
56027,0
56026,0
56025,3
56024,8
56023,10
56022,15
56021,14
56020,11
56019,7
56018,3
56017,3
56016,2
56015,1
56014,1
56013,1
56012,0
56011,0
56010,0
56009,0
56008,0
56007,0
