"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,225974938.515969,131809696.890000,5097,23231320.000000,664787887.000000,55206008.000000,23231320.000000,586350559.000000,0.083043,78395.625970,303854.498846,0,0.994240
2,222531007.179999,128115475.330000,5140,23312477.000000,664787887.000000,55754383.000000,23312477.000000,585721027.000000,0.083868,0.000000,0.000000,0,1.000000
3,223594740.780001,128086173.860000,5113,23577890.000000,664787887.000000,55241104.000000,23577890.000000,585968893.000000,0.083096,18112.420002,150119.546754,0,0.999976
4,229551279.485867,133538441.500000,5096,23678800.000000,664787887.000000,55012980.000000,23678800.000000,586096107.000000,0.082753,113697.985866,25557.437465,0,0.995972
5,225243302.265788,130668847.820000,5123,23345385.000000,664787887.000000,55499937.000000,23345385.000000,585942565.000000,0.083485,25645.195788,112633.528873,0,0.998539
6,225648837.389999,130726921.889999,5159,23437510.000000,664787887.000000,55925476.000000,23437510.000000,585424901.000000,0.084125,0.000000,0.000000,0,1.000000
7,233068924.706243,135946557.760000,5084,23977125.000000,664787887.000000,54776082.000000,23977125.000000,586034680.000000,0.082396,15010.696243,4275.500132,0,0.997371
8,222335731.780000,127929061.330000,5144,23310289.000000,664787887.000000,55811414.000000,23310289.000000,585666184.000000,0.083954,0.000000,0.000000,0,1.000000
9,223372178.317423,128727940.430000,5121,23332232.000000,664787887.000000,55543807.000000,23332232.000000,585911848.000000,0.083551,148698.287423,43803.612708,1,0.989854
10,225650074.839188,129850753.540000,5096,23652465.000000,664787887.000000,54969110.000000,23652465.000000,586166312.000000,0.082687,6838.049188,60655.632132,0,0.999969
11,235178205.050000,138168623.900000,5126,23952983.000000,664787887.000000,55271813.000000,23952983.000000,585563091.000000,0.083142,0.000000,0.000000,0,1.000000
12,226662835.468064,130700959.500000,5097,23691960.000000,664787887.000000,55026141.000000,23691960.000000,586069786.000000,0.082772,9437.968065,1608.003843,0,0.999484
13,225956035.680822,131062718.430000,5114,23415576.000000,664787887.000000,55385875.000000,23415576.000000,585986436.000000,0.083314,60234.450822,6654.551902,0,0.991603
14,228078549.760501,132698889.520000,5121,23544986.000000,664787887.000000,55359553.000000,23544986.000000,585883348.000000,0.083274,22466.940501,17869.949268,0,0.996918
15,227749819.461408,131039966.360000,5143,23849878.000000,664787887.000000,55456067.000000,23849878.000000,585481942.000000,0.083419,117847.201408,86209.510492,0,0.990139
16,227251980.312497,130766511.690000,5143,23806014.000000,664787887.000000,55517485.000000,23806014.000000,585464388.000000,0.083512,71111.922497,14224.670235,0,0.995182
17,230599878.819317,132864857.200000,5091,24130663.000000,664787887.000000,54745373.000000,24130663.000000,585911851.000000,0.082350,5836.469318,17894.700190,0,0.998783
18,231598193.389866,131172034.490000,5087,24790904.000000,664787887.000000,54341769.000000,24790904.000000,585655214.000000,0.081743,22997.699866,207723.720192,0,0.998673
19,226240115.324504,128645210.150000,5157,24093359.000000,664787887.000000,55539420.000000,24093359.000000,585155108.000000,0.083545,16801.224504,18322.048215,0,0.998069
20,217157913.149649,124740088.490000,5118,22801394.000000,664787887.000000,55706126.000000,22801394.000000,586280367.000000,0.083795,72178.959650,26343.860802,0,0.997146
21,222159533.755444,127483921.440000,5155,23376096.000000,664787887.000000,55916702.000000,23376096.000000,585495089.000000,0.084112,2423.515445,11190.136760,0,0.999853
22,228484667.382493,132140898.180000,5147,23779695.000000,664787887.000000,55605225.000000,23779695.000000,585402967.000000,0.083644,36004.452494,71233.100829,0,0.997461
23,228439829.167892,131575331.870000,5110,23915699.000000,664787887.000000,55091946.000000,23915699.000000,585780242.000000,0.082871,5916.347892,1514.089046,0,0.999708
24,228753753.330040,133938395.660000,5105,23400232.000000,664787887.000000,55311296.000000,23400232.000000,586076359.000000,0.083201,44418.070040,80693.018358,0,0.997318
25,226477259.796319,130289869.700000,5133,23738030.000000,664787887.000000,55499937.000000,23738030.000000,585549920.000000,0.083485,48368.596320,188778.016191,0,0.997766
26,221121028.725433,125918143.560000,5079,23501125.000000,664787887.000000,54876983.000000,23501125.000000,586409779.000000,0.082548,23328.915433,10869.409097,0,0.998800
27,224779103.755029,132802608.280000,5120,22680750.000000,664787887.000000,55785092.000000,22680750.000000,586322045.000000,0.083914,119457.975029,152147.712173,1,0.989183
28,221187679.096855,128280777.820000,5109,22911082.000000,664787887.000000,55609612.000000,22911082.000000,586267193.000000,0.083650,117019.176856,52741.522940,0,0.990139
29,222229189.359258,126002341.610000,5149,23755571.000000,664787887.000000,55657869.000000,23755571.000000,585374447.000000,0.083723,16785.199258,729.204779,0,0.996330
30,227589187.519210,131223817.420000,5172,23790656.000000,664787887.000000,55894767.000000,23790656.000000,585102464.000000,0.084079,13213.299211,46747.558227,0,0.998783
31,231558837.960000,133118966.910000,5115,24306141.000000,664787887.000000,54942788.000000,24306141.000000,585538958.000000,0.082647,0.000000,0.000000,0,1.000000
32,225376083.358614,129441370.360000,5095,23676610.000000,664787887.000000,55030528.000000,23676610.000000,586080749.000000,0.082779,44442.498615,3349.211249,0,0.996330
33,222016828.432110,127829787.190000,5088,23251071.000000,664787887.000000,55148977.000000,23251071.000000,586387839.000000,0.082957,20203.692110,1585.262603,0,0.997350
34,225927338.219317,132980631.600000,5104,22948363.000000,664787887.000000,55469228.000000,22948363.000000,586370296.000000,0.083439,5836.469318,17894.700190,0,0.998783
