id,pu_area,pu_count
1,416.0,416
2,137.0,137
3,164.0,164
4,28.0,28
5,53.0,53
6,6.0,6
7,4708.0,4708
8,583.0,583
9,541.0,541
10,442.0,442
11,696176375.1817237,112
12,625006938.8538198,28
13,767589545.7386392,58
14,1392596484.592459,86
15,767589545.7386392,58
16,767589545.7386392,58
17,767589545.7386392,58
18,1178758501.3739996,40
19,1814274118.7548528,152
20,810728309.9843729,95
21,857731848.3976198,44
22,5039767853.390026,386
23,1227113300.4666169,48
24,625569675.75022,28
25,873031803.0157481,161
26,4990466554.420721,253
27,1609648728.0356011,180
28,799447773.3977798,155
29,802610375.1186894,163
30,928778993.2252923,81
31,928849943.4380518,75
32,1775935754.2819343,149
33,928849943.4380518,75
34,10253316545.7636,626
35,793078894.6748959,60
36,2298717217.9356027,185
37,1664511047.5371008,145
38,1477948777.3605647,106
39,684848490.1664474,89
40,755311438.243707,67
41,705503542.1621139,87
42,871388844.0245533,77
43,736267391.862071,107
44,1632265757.3274086,175
10015,114149590.31868301,31
10016,1376366517.9681387,312
10017,1895814332.5811996,57
10019,3431423647.66098,126
10022,13011735549.825249,458
10023,1657180.0326,3
10025,1886870172.0602796,139
10026,13713538769.077345,764
10027,1006737073.1547532,58
10029,15554294890.054247,499
10032,296911006812.15686,6859
10033,3136221419.0829988,121
10035,1780852360.754745,169
10036,13520234981.343107,951
10037,1291772092.0385697,68
10039,272722617268.02554,6006
10042,271936955443.6043,6746
10043,23939153554.525524,988
10044,267917.2537,1
10045,2452196687.4116855,171
10046,24387453225.537376,1355
10047,5373169209.555458,163
10049,76148268952.09406,2004
10052,215188493586.4738,5425
10053,193231232923.56796,4877
10054,241554194.3869,17
10055,491229111.3498309,44
10056,11966118272.363283,906
10057,942971558.8241384,53
10058,9072939.9389,3
10059,845132591.4482688,61
10062,49086610922.90427,1603
10063,49898585131.45931,1640
10064,29478526.91259833,5
10065,306802892.6702,19
10066,8961764110.647957,647
10067,471725064.45840013,25
10068,615617881.7369728,183
10069,211864838.43930998,19
10072,1256203367.2617874,239
10073,10659142542.912725,378
10075,77179010.458,4
10076,3273921888.8262615,225
10077,20361628.904189304,6
10078,9402939175.842108,311
12911,26887677.301785197,86
13111,39841362.31121729,101
20012,137208669.74822572,37
20013,828590.1985,1
20015,446835881.33748007,83
20016,2657546898.520281,539
20017,143346101.51286,8
20022,96108223199.58038,3024
20023,1342890698.6407187,152
20025,7454461494.996788,471
20026,32644670270.422123,1846
20027,693776306.5271416,29
20032,237726881724.52548,6000
20033,96710493032.4428,2506
20035,5667819841.255166,418
20036,22452959475.707375,1561
20042,43611536489.95388,1576
20043,13581558271.396473,684
20045,4257450401.1985903,258
20046,11715163227.30785,776
20052,6107182555.477155,292
20053,5096836021.141004,262
20054,167010772.9756,12
20055,409988815.275094,40
20056,3661112828.894562,229
20062,3278506830.0632586,171
20063,3621527769.58776,185
20065,46734909.113479994,6
20066,1920683371.39434,134
20068,343020940.36711514,51
20072,151727838.03456676,35
20073,1859525526.9290795,70
20076,420357761.9175799,45
20078,1707797689.2835689,65
21811,135689574.7580677,95
21911,62698071.94636219,75
22011,96134226.25436884,89
22111,4027067.1324791005,29
22211,9842979.476533199,63
22311,34723182.23711459,106
22411,2050876.6816059798,16
23711,10001933.26991,8
30012,876333574.9513408,43
30013,330662102.42136705,47
30015,390078614.6092493,63
30016,1821513975.606942,355
30019,876333573.9803399,43
30022,11061232724.4035,452
30023,9325744659.79172,310
30025,4627249499.0057125,341
30026,23175461334.541504,1385
30029,9806512853.764944,381
30032,25631734749.653595,1055
30033,1514407517.4113011,117
30035,6310034159.599118,496
30036,26211700016.14183,1734
30039,13419098442.698019,528
30042,80739683085.8924,2333
30043,25726432905.907993,1551
30045,8425667366.306089,521
30046,36372876903.07543,2152
30049,2945052066.7504864,204
30052,64615389117.993965,2023
30053,80279319670.68793,2571
30055,2895983891.920419,205
30056,16716038328.502514,1155
30059,1748013.18151,3
30062,35563319800.783485,1258
30063,42337838560.51266,1567
30065,1054731634.8398299,97
30066,10159415831.803934,756
30068,882364750.8397946,311
30072,758498898.2736874,270
30073,29742837744.42596,858
30075,194969367.53917003,26
30076,15274810490.603062,630
30078,28712020516.770042,775
32511,15742635.327643098,90
32611,57262275.156501725,61
32711,201756557.8463617,210
32811,29979982.921073,55
33511,20029577.897123,53
40012,43757028.117699996,12
40013,726451415.557344,58
40015,430745079.94323003,61
40016,1334453492.2985735,159
40017,591912998.4708999,26
40022,11907477214.204004,393
40025,2689015243.3995414,215
40026,8616532009.00285,429
40027,934560414.8770901,42
40029,62144264.431750014,6
40032,136427736446.2504,3162
40033,8224897.5178,3
40035,3370380893.047608,279
40036,3589767979.878632,286
40037,284933752.36726403,24
40039,56078375088.413574,1269
40042,110820572625.79483,2755
40043,38342210697.578896,1190
40045,9356644116.943703,422
40046,3656705767.814559,212
40049,19834319447.201748,610
40052,162718221633.54453,3600
40053,162718307507.8894,3599
40055,1127489643.88918,53
40056,2563461.981487,5
40062,12130875.72602,3
40063,12130875.72602,3
43211,115885948.2566221,37
43611,749894120.6906403,156
50013,1225561078.3716002,37
53311,280604004.23329216,87
53411,2252052685.1566143,403
100110,3254795631.83595,141
100114,10553478591.113316,497
100115,155158275.47250003,22
100116,2160301242.4165025,376
100210,9637339443.183924,410
100213,11600262.782300001,2
100214,288423399.4628631,166
100215,22877145.239985,12
100216,23522336606.77301,917
100310,12741370299.863613,612
100313,558319172.010004,30
100316,15577025046.080324,762
100320,2833073.3817000003,3
100410,13384269094.384964,605
100413,3680431201.81796,153
100416,9170147252.388384,424
100419,790678738.746262,91
100420,11006477545.944551,370
100510,10231833679.199183,447
100513,3640577470.1883745,169
100516,708869983.7108768,60
100519,13062762662.217253,451
100520,4059373382.8725863,385
100610,47795036.520431004,17
100613,375229875.665866,46
100616,196356242.74341002,19
100619,10816903921.416763,346
100620,23948042555.276928,820
100719,854541258.7808098,45
100720,9804601283.979004,333
129123,1908392056.9137955,171
129141,6551775.111,7
129142,491610.5719,1
129144,6451088.6137,7
129146,13728760.665,4
129149,404255.49809999997,2
129151,37681418.896,7
129153,40009696.25270001,6
129155,11182915.8793,5
129163,126045.90906,2
129166,22508.07549,1
129183,1908765.9750199998,2
129195,10389280.478,2
129197,19776001.078022,12
130123,1175344751.2393248,104
130132,94757971.2988,13
130133,1107550044.2055,37
130134,5389630.930708001,6
130135,13824638.028455,16
130136,130059812.83497,35
130137,1987072.24979,9
130141,40420793.243650004,48
130142,18325652.6389235,11
130143,885926.475776,5
130144,173111046.55432796,48
130149,59530761.43073699,33
130151,17168151.96165,34
130153,590248350.092275,39
130155,82786286.87324001,41
130163,1443287.1521655999,29
130164,2328925.71849,8
130166,5394.9009320000005,1
131123,6303878351.765312,277
131197,873912163.8518203,58
131199,7407360.662,3
200110,6235455757.500914,333
200113,33972196.59889,8
200114,18498954696.49809,1157
200115,550008014.0911512,71
200116,6120047712.35441,945
200117,559298372.2699301,39
200210,29774538126.608913,1155
200211,307271447.43155104,21
200213,1482750720.1156504,77
200214,2196413269.9295173,481
200215,874004917.419235,61
200216,61050350564.69332,2148
200217,11524633587.779156,379
200218,1266259906.943558,52
200310,14501520675.608055,708
200311,1895803508.1449718,122
200313,1457543979.0505958,112
200316,8702422087.435919,635
200317,13678862913.026535,478
200410,6152965457.292093,353
200411,550593861.513321,47
200413,1218864679.80711,61
200416,1256427009.6719682,119
200417,1247537002.241876,92
200510,28583803.936160006,11
200513,2632418.7258,3
200516,54022479.0796,7
200519,547768513.6570221,78
200520,282806493.31389976,34
200619,2139662236.9609597,118
200620,1408600717.967971,67
200719,1056747845.4163679,38
200720,802777681.51271,32
217123,931245411.9847201,72
217137,1053792.56984,3
217141,30276324.515599996,31
217144,122420608.30157666,28
217149,17856135.485651,10
217151,19848000.406902,21
217153,285955386.47708577,21
217155,62742590.5794,23
217156,898.1079647,1
217163,659853.254411,13
217164,8482313.0121,6
217165,13184243.777499998,12
217166,337545.6801,4
217173,235507.3719,1
217176,443149.2678,1
217181,355058.4062,1
218123,3571787125.945945,222
219123,4082403894.4988527,228
219137,233236.06670999998,2
219141,5140086.387360001,8
219142,338586.23938000004,3
219144,11934502.4553,7
219146,1554347.2130999998,4
219149,576409.9442500001,2
219151,588116.2128999999,2
219153,40776019.2232,8
219155,2504295.25845,7
219160,99971.15911000001,1
219163,141384.815317,4
219164,185532.0459,1
219197,537653952.3152819,42
220123,1397844685.137434,126
220173,1858148.71139,4
220176,6561044.7247,4
220179,162473.3407,1
220181,3734495.09887,4
220184,500885.786233,2
220186,1939000.5796149997,4
220187,4833839.466,3
220197,426725911.59845996,43
220199,43172666.268076,13
221123,141222925.42522097,37
221197,3560551.1797,3
222123,625077485.5050827,90
223123,5846019420.293768,287
224123,1098819930.878971,137
237123,4247757901.7432756,178
300110,870597472.2734998,42
300113,310721317.49009997,17
300114,41351715029.95693,1473
300115,971486095.8185675,99
300116,13123579427.23196,915
300118,805843387.6900998,41
300210,10627374249.671118,428
300213,1281025887.94408,73
300214,5043820933.097306,473
300215,993986682.07942,72
300216,57941375845.87796,1943
300217,60487083.6758,6
300218,839837484.8071759,46
300310,9803121753.357183,485
300313,2331364829.3970785,141
300314,22007131.531740002,4
300316,27848420636.146523,1187
300317,929134629.3597363,86
300318,1051094581.7097002,48
300410,1936424475.2757788,159
300411,1356776927.6173842,95
300413,2463293035.3736563,155
300414,4569.814577,1
300416,27431276956.472958,1133
300417,11864476363.342571,401
300418,7510495.034209,8
300420,24017935.86983,4
300510,5681573825.398543,210
300511,382827403.26574004,41
300513,9529863.66327,6
300516,16192518750.39478,711
300517,594368413.2394298,53
300518,491145538.3535901,19
300519,68280059.892677,8
300520,3414058638.0133247,199
300610,1238472539.7611282,91
300616,5892062761.640963,354
300618,146990995.00189996,11
300619,15187301392.41015,738
300620,6106780713.525053,202
300716,272318331.594716,80
300719,29722774016.39589,848
300720,19820824.037965,10
325123,1609481226.2116115,131
326123,15098367810.403177,564
327123,15644914840.373522,565
328123,2832738396.840965,234
335123,7953044491.617952,310
400112,43757027.6761,12
400114,52729595177.099976,1384
400115,1138634895.7605553,85
400116,2732412923.9413066,269
400121,247868319.49689993,41
400212,11836582005.921103,387
400214,813677284.0203186,100
400215,39770844.404,3
400216,19370630093.774315,651
400218,248528699.987,10
400310,1330831449.6948,48
400312,80105264018.8005,1875
400313,11557925.651,3
400316,7085430315.5784445,347
400410,110273977.71757,21
400412,36816867781.06067,945
400413,50559723.9369,7
400416,2966478374.6000605,126
400420,11214935590.647842,351
400512,6731943633.35205,235
400516,2886122.8652000003,3
400520,705311954.7381439,89
431121,9564275.778940002,5
432121,76868141.11399,17
432122,373351552.30625004,32
432123,8716954031.926857,248
436123,6330610862.447384,293
500114,28112108376.105286,634
500115,166262235.7435,18
500121,31000384.710839994,11
533123,22797476062.99597,531
534121,2664670.705,2
534123,33274333487.75733,874
1291111,676195.0994,2
1291115,2108951.9644299997,6
1291118,3842728.4286849992,7
1291194,72956.769585,5
1291208,24310.833987,2
1291209,1100345.98041,5
1291240,1745487.2812,6
1291245,5510433.356657,16
1291248,682670.15331,4
1291250,7355221.02326,7
1291251,180987.28845,2
1291252,88105293.00362104,106
1291253,367381.53781,3
1291254,63362236.21490696,96
1291256,3882374.7476500003,21
1291268,1709448.1094,4
1291270,439413.28017000004,4
1291272,46833.885451710004,3
1291274,4885223.941197901,6
1291296,26779591.200899996,23
1291297,21649673.72881,10
1311102,7815266.91385,13
1311106,4076943.0265500005,8
1311108,472638.429924,5
1311109,1247957.39879,2
1311111,18655818.508685023,33
1311113,20370136.574502796,30
1311115,50405883.329904,34
1311116,15284604.952054001,26
1311118,10301671.550999999,15
1311141,1229315.3657,3
1311143,531862.11526,3
1311194,6299123.781190582,29
1311198,354298.29673,3
1311204,5300843.48855,11
1311209,11750099.695177998,21
1311210,17072.379380000002,1
1311212,3631155.8537799995,36
1311222,1201192.4543,4
1311227,870572.4204005001,6
1311230,698145.2136,3
1311240,5504091.574469999,15
1311245,1637581.88853,11
1311248,11900355.823746996,58
1311251,3097289.0394100007,5
1311252,5067250.176969999,19
1311253,1717183.99748,2
1311254,23131286.069266,35
1311256,6215862.802430149,14
1311260,1573010.6468000002,3
1311262,1811206.08353,4
1311268,1809146.51827,6
1311270,9826040.634791998,25
1311272,2571289.68741,3
1311274,934983.0754,2
2171252,3705895.47,5
2171254,5159006.033570001,5
2171256,4243159.995,4
2181512,163665.3154,2
2181515,1237233.67808,6
2181518,390252.22714,3
2181519,13242585.715470001,20
2181521,22766027.1913,26
2181523,1369910.73699,5
2181527,4796343.30396,11
2181565,117799.59853,2
2181605,120692.5664,1
2181611,763960.0108,2
2181616,507257.59712,4
2181617,63818.737810000006,1
2181619,4626637.99786,15
2181687,1046518.777763,3
2181693,76421.084222,2
2181696,873894.9805000001,2
2181700,689595.07941,3
2181703,2153378.8583,2
2181771,80098.0502,1
2181772,16543051.667809997,23
2181774,14694765.609288996,26
2191102,7308233.36404,16
2191103,208959.69256,2
2191106,37598257.85977001,31
2191107,12975256.6533,6
2191108,2910152.4881200003,12
2191111,31270701.36013,25
2191113,29525968.471444998,20
2191115,71919862.003146,41
2191116,28438988.857559998,23
2191118,51023131.87663999,46
2191146,406143.22967000003,2
2191147,5931994.332300001,4
2191149,2145994.350886,6
2191154,6248015.6503,6
2191155,17225842.841009997,8
2191157,459288.11575,3
2191190,4905232.37214,5
2191194,17427038.676176008,39
2191216,26120.91144,1
2191219,1021406.0821,4
2191221,1605965.71503,4
2191222,4552889.3358000005,6
2191223,1102382.3354,2
2191224,1564410.8368000002,2
2191227,22864825.353512,38
2191228,3880126.60653,12
2191229,7676304.03011,9
2191230,20829589.579021994,55
2191232,2312814.1069,2
2191233,7458280.561000001,1
2191234,573757.10075,2
2191235,3310131.20309,9
2191240,19481209.310895007,28
2191244,12610.04789,1
2191245,45316180.96456629,49
2191246,11615163.9980772,22
2191247,14153138.6289,6
2191248,15565192.1027553,40
2191249,118869.5022014,3
2191251,2154413.23177,9
2191252,14922219.0309173,25
2191254,35667097.29863399,37
2191256,8267200.057973999,25
2191268,5223899.8506000005,12
2191269,24513291.0616,9
2191270,40761434.11575791,45
2191271,8899062.896,1
2191272,13674094.6433258,13
2191274,14621666.5362,28
2191275,148589.2827,1
2191292,10756941.335919,4
2191296,26918870.572120998,25
2201100,6859461.326199999,3
2201102,60194211.315674,27
2201104,586005.12806,2
2201106,2386590.838,1
2201108,1240359.686869,3
2201111,4542835.1830899995,8
2201113,4422234.623199999,3
2201115,11576462.362499999,10
2201116,16662232.798700001,10
2201117,866438.0672,1
2201118,28268154.004480004,9
2201147,378626.343764,3
2201150,3608999.9154829998,8
2201155,8469925.4082,6
2201156,1788858.3233400001,4
2201158,155573.7518,1
2201159,240030.78693999996,3
2201160,2033070.465,4
2201161,4368142.616,3
2201165,34504363.271680005,18
2201166,17957892.705002,15
2201167,45227190.92921,23
2201168,48218738.98785,20
2201169,34291314.907460004,10
2201190,7065037.860238001,9
2201194,6390660.751469999,8
2201197,10927426.0624,4
2201204,4550007.010876,6
2201208,131151.40378,4
2201209,8441700.179421,16
2201210,4711996.273899999,5
2201212,3684232.6420600004,11
2201240,1176048.6612,3
2201245,3102693.9449,5
2201246,1025930.53454,4
2201248,1395616.71116,11
2201251,4353535.494611,15
2201252,37173163.132164,51
2201254,81642091.20274803,73
