species,pu,amount
63407942,9822,18735498.556059603
63407942,9823,28218478.1957664
63407942,9824,11301785.0692932
63407942,10005,3488726.52535517
63407942,10006,35523911.1787003
63407942,10007,37284075.457430296
63407942,10008,41306369.534487605
63407942,10009,30654839.274363898
63407942,10188,21348402.6490304
63407942,10189,49881048.0500383
63407942,10190,21290300.797499303
63407942,10191,27776950.858468395
63407942,10192,49756926.0189633
63407942,10193,25410556.2971905
63407942,10372,17411345.9130879
63407942,10373,50000046.624932
63407942,10374,25058685.1179705
63407942,10375,16530957.418704098
63407942,10376,50000046.624928996
63407942,10377,47868409.209468
63407942,10378,38122.2170419654
63407942,10555,7301371.429727901
63407942,10556,50000046.624928996
63407942,10557,8316294.13644726
63407942,10558,19928422.8815334
63407942,10559,47637233.6343445
63407942,10560,49991962.9035241
63407942,10561,6051869.40226867
63408475,10579,21497681.6724024
63408475,10580,32266324.2747105
63408475,10581,32266324.2747105
63408475,10582,8492813.32997642
63407942,10740,25760318.296050698
63407942,10741,49158736.2726906
63407942,10742,39315655.946213394
63407942,10743,12997826.1578047
63407942,10744,49981595.4381798
63407942,10745,19286969.330317397
63408475,10763,23814770.5496741
63408475,10764,50000046.624928996
63408475,10765,50000046.6249933
63408475,10766,50000046.624932
63408475,10767,12814881.8691956
63408405,10921,5064404.22415133
63408405,10922,13108483.4785491
63408405,10923,15675808.5671551
63407942,10924,10392368.8760159
63408405,10924,962996.254138727
63407942,10925,23743591.5190797
63407942,10926,9277571.50979389
63407942,10927,44046554.529412895
63407942,10928,38578347.71044339
63408475,10947,19878392.800621103
63408475,10948,50000046.6253111
63408475,10949,50000046.6253111
63408475,10950,50000046.6253111
63408475,10951,26574954.8596733
63408405,11105,3982844.53957344
63408405,11106,49050855.8346874
63408405,11107,50000046.6250216
63408405,11108,49944159.3342889
63408405,11109,19658946.3961115
63407942,11112,623278.763709824
63408475,11132,4667893.68318427
63408475,11133,30383501.552444104
63408475,11134,29995986.143169202
63408475,11135,20617212.4945718
63408405,11289,3138599.33280919
63408405,11290,23171464.2330627
63408405,11291,23593896.2403665
63408405,11292,23228187.9277842
63408405,11293,198713.603708922
63407942,11306,17175203.0352172
63407942,11307,37045944.7733434
63407942,11308,34966055.341916904
63407942,11309,19700898.4091455
63407942,11489,5638773.33401953
63407942,11490,40390707.6442156
63407942,11491,50000046.6253111
63407942,11492,50000046.6253754
63407942,11493,42567813.041190006
63407942,11494,4741983.09261473
63407942,11672,19169237.4196584
63407942,11673,49392063.797556
63407942,11674,50000046.6249933
63407942,11675,49707473.0735443
63407942,11676,49945319.4857861
63407942,11677,17115396.5961286
63407942,11856,30409231.2236348
63407942,11857,49809919.2083346
63407942,11858,49766679.5071411
63407942,11859,50000046.6249573
63407942,11860,49783251.333896205
63407942,11861,33083012.6338801
63407942,12039,22616771.214912303
63407942,12040,50000046.624928996
63407942,12041,50000046.624928996
63407942,12042,50000046.6249933
63407942,12043,50000046.624932
63407942,12044,31216155.544517305
63407942,12049,5813023.14034822
63407942,12050,17744834.958877202
63407942,12051,1519759.77519976
63407942,12224,21178148.892772198
63407942,12225,39348198.691359006
63407942,12226,49592202.8799765
63407942,12227,48556778.691346794
63407942,12228,44717362.1739103
63407942,12229,68457.6265002066
63407942,12233,5175036.30070442
63407942,12234,49996637.9343426
63407942,12235,50000046.624928996
63407942,12236,33609186.2642866
63407942,12237,11304083.472707901
63407942,12238,2519066.66309787
63407942,12239,863292.6810313
63407942,12409,1844208.43400098
63407942,12410,3817687.45594792
63407942,12411,7551270.65151675
63407942,12417,43150247.0533463
63407942,12418,50000046.6253754
63407942,12419,50000046.625314206
63407942,12420,50000046.6253111
63407942,12421,49560464.4948822
63407942,12422,46705759.966051705
63407942,12423,28622292.3564596
63407942,12601,12026279.0518739
63407942,12602,50000046.62494621
63407942,12603,47077185.968343
63407942,12604,45855858.4056997
63407942,12605,50000046.6250075
63407942,12606,49768970.47076721
63407942,12607,32007634.739694603
63407942,12785,23122601.1658464
63407942,12786,50000046.6250075
63407942,12787,49792634.0664359
63407942,12788,42095950.45630471
63407942,12789,39664962.877461895
63407942,12790,47568816.3759766
63407942,12791,11750704.9603315
63407942,12970,14763818.963011801
63407942,12971,28010157.9865979
63407942,12972,38470426.8291725
63407942,12973,46110296.068365
63407942,12974,46939500.1594126
63407942,12975,50000046.624928996
63407942,12976,9526729.16409559
63407942,13156,230025.493844335
63407942,13157,4551106.23402121
63407942,13158,9968831.27752326
63407942,13159,7276556.27798898
63767166,13173,2334918.18298647
63767166,13174,5240619.81431631
63767166,13357,32353434.915255
63767166,13358,50000046.6249431
63767166,13359,39797384.8438942
63767166,13360,5190738.29750778
63767166,13540,20872335.303059198
63767166,13541,50000046.624928996
63767166,13542,50000046.624928996
63767166,13543,49884920.7703521
63767166,13544,7995178.80858323
63767166,13725,39703881.762095295
63767166,13726,50000046.6249431
63767166,13727,50000046.6250105
63767166,13728,50000046.6249431
63767166,13729,6349701.22350059
63767166,13909,33201197.831171997
63767166,13910,50000046.6253111
63767166,13911,49918725.6465846
63767166,13912,13521154.4448504
63767166,14094,4263127.48801139
63767166,14095,9989494.20883581
63767166,14096,2282247.24109889
