species,pu,amount
35339,1,3983274.92142121
35339,2,3984173.98427914
35339,3,3984190.10664784
35339,4,3984206.23206628
35339,5,3984222.36051577
35339,6,3984238.49201603
35339,7,3984254.62654954
35339,8,3984270.76411419
35339,9,3984286.90470423
35339,10,3984303.04832961
35339,11,3984319.19495746
35339,12,3984335.34459283
35339,13,3984351.49723903
35339,14,3984367.65289262
35339,15,3984383.81154013
35339,16,3984399.97318319
35339,17,3984416.13779795
35339,18,3984432.30543486
35339,19,3984448.47600512
35339,20,3984464.64956159
35339,21,3984480.82611033
35339,22,3984497.00560393
35339,23,3984513.18806092
35339,24,3984529.37346378
35339,25,3984545.56181923
35339,26,3097863.00966138
35403,26,189325.73273598886
35869,26,697372.25714038
35403,27,3327216.10151581
35869,27,657361.845842477
35403,28,3984594.14454418
35403,29,3984610.34464499
35403,30,3984626.54767351
35403,31,3984642.75364345
35403,32,3984658.96248842
35403,33,3984675.17427158
35403,34,3984691.3889583
35403,35,3984707.60653545
35403,36,3984723.82701708
35403,37,3984740.05039135
35403,38,3984756.27664343
35403,39,3984772.50579013
35403,40,3984788.73780542
35403,41,3984804.97268455
35403,42,3984821.21043413
35403,43,3984837.45104682
35403,44,3984853.69454334
35403,45,3984869.94084278
35403,46,3984886.19002871
35403,47,3984902.44203044
35403,48,3984918.69689343
35403,49,3984934.95456346
35403,50,3984951.21508083
35403,51,3984967.47841842
35403,52,3984983.74456936
35403,53,3985000.01354389
35403,54,3985016.28529684
35403,55,3985032.55988336
35403,56,3985048.83726631
35279,57,288915.08845251397
35339,57,1932879.39258871
35403,57,1763269.54039087
35339,58,3985081.40038574
35339,59,3985097.6861316
35339,60,3985113.97465008
35339,61,3985130.2659389
35339,62,3985146.56000285
35339,63,3985162.85683655
35339,64,3985179.1564133
35339,65,3985195.45875853
35339,66,3985211.76385654
35339,67,3985228.07168042
35339,68,3985244.38224994
35339,69,3985260.69556017
35339,70,3297710.57608316
35869,70,687566.435521913
35339,71,149430.36638353
35869,71,3835862.25021216
35869,72,3985309.65183579
35869,73,3985325.97604117
35869,74,3985342.30294777
35869,75,3985358.632558
35339,76,1155859.06434457
35869,76,2829515.834699
35339,77,3028976.12325143
35869,77,956415.1766197879
35339,78,3945556.70810647
35869,78,39850.9294662486
35339,79,3985423.97794886
35279,80,2122366.47172329
35339,80,1863073.1236886003
35279,81,3985456.66675118
35279,82,3985473.01515128
35279,83,3985489.36624129
35279,84,3985505.71995918
35279,85,3985522.07635362
35279,86,3975573.75466181
35361,86,9964.68073346489
35279,87,2421140.53938294
35361,87,1564414.25769806
35279,88,508149.866029714
35361,88,3477421.04180249
35361,89,3985587.52836048
35361,90,3985603.89794997
35361,91,3985620.2701699
35361,92,3985636.644993
35361,93,3985653.02247016
35361,94,3985669.40251332
35361,95,3985685.78519041
35361,96,3985702.17045745
35361,97,3985718.55832516
35361,98,3985734.9487769995
35361,99,3985751.34182411
35361,100,3985767.73744446
35361,101,3985784.1356428
35361,102,3985800.53641469
35361,103,3985816.93974201
35361,104,3985833.34564126
35361,105,3985849.75409734
35361,106,3985866.16508799
35361,107,3985882.57863908
35361,108,3985898.99473953
35361,109,3985915.41335062
35361,110,3985931.83450849
35361,111,3985948.25818324
35361,112,3985964.68438563
35361,113,3985981.11310352
35361,114,3985997.54433148
35361,115,3986013.97806427
35361,116,3986030.41429684
35361,117,3986046.85302618
35361,118,3986063.29423706
35361,119,3986079.73794526
35361,120,3986096.18413322
35361,121,3986112.63279488
35361,122,3986129.0839202995
35361,123,3986145.53751598
35361,124,3986161.99356701
35361,125,3986178.45208081
35361,126,3986194.9130483
35361,127,3986211.37645049
35361,128,3986227.84229247
35361,129,3986244.31057383
35361,130,3986260.7812884003
35361,131,3986277.2544323998
35361,132,3986293.72996392
35361,133,3986310.20796082
35361,134,3986326.68832289
35361,135,3986343.17110122
35361,136,3986359.65629789
35361,137,3986376.14386747
35361,138,3986392.63383288
35361,139,3986409.12619228
35361,140,3986425.620921
35361,141,3986442.11801825
35361,142,3986458.61750489
35361,143,3986475.11933967
35361,144,3986491.62352002
35361,145,3986508.1300881
35361,146,3986524.63897728
35361,147,3986541.15022133
35361,148,3986557.66380848
35361,149,3986574.17972411
35339,150,3982349.0035908
35339,151,3984173.08281848
35339,152,3984189.20540074
35339,153,3984205.33101996
35339,154,3984221.45968288
35339,155,3984237.59139523
35339,156,3984253.7261413
35339,157,3984269.86390233
35339,158,3984286.00470027
35339,159,3984302.14852482
35339,160,3984318.29536784
35339,161,3984334.44521396
35339,162,3984350.59807148
35339,163,3984366.75393466
35339,164,3984382.9127893
35339,165,3984399.07464387
35339,166,3984415.23947876
35339,167,3984431.40730829
35339,168,3984447.57810033
